NCAA_Link,Year,School,Conf,Class,Pos,G,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/shaun-alexander-1.html,1996,Alabama,SEC,,RB,11.0,77.0,589.0,7.6,6.0,7.0,53.0,7.6,0.0,84.0,642.0,7.6,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/shaun-alexander-1.html,1997,Alabama,SEC,,RB,9.0,90.0,415.0,4.6,3.0,4.0,37.0,9.3,0.0,94.0,452.0,4.8,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/shaun-alexander-1.html,1998,Alabama,SEC,,RB,11.0,258.0,1178.0,4.6,13.0,26.0,385.0,14.8,4.0,284.0,1563.0,5.5,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/shaun-alexander-1.html,1999,Alabama,SEC,,RB,11.0,302.0,1383.0,4.6,19.0,25.0,323.0,12.9,4.0,327.0,1706.0,5.2,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,90.0,45.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/shaun-alexander-1.html,Career,Alabama,,,,,727.0,3565.0,4.9,41.0,62.0,798.0,12.9,8.0,789.0,4363.0,5.5,49.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,90.0,45.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lavar-arrington-1.html,1998,Penn State,Big Ten,,LB,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,16.0,8.0,1.0,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lavar-arrington-1.html,1999,Penn State,Big Ten,,LB,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,27.0,27.0,0.0,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lavar-arrington-1.html,Career,Penn State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,43.0,14.3,1.0,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/john-baker-3.html,1997,North Texas,Big West,,P,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,2925.0,47.2,,,,,,,
https://www.sports-reference.com/cfb/players/john-baker-3.html,1998,North Texas,Big West,,P,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,2783.0,42.2,,,,,,,
