NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate
https://www.sports-reference.com/cfb/players/keith-adams-1.html,*1999,Clemson,ACC,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/keith-adams-1.html,2000,Clemson,ACC,JR,LB,11.0,,,,,,1.0,27.0,27.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/keith-adams-1.html,Career,Clemson,,,,,,,,,,1.0,27.0,27.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/hakim-akbar-1.html,1998,Washington,Pac-10,,DB,11.0,,,,,,1.0,17.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/hakim-akbar-1.html,1999,Washington,Pac-10,,DB,11.0,,,,,,1.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/hakim-akbar-1.html,2000,Washington,Pac-10,JR,DB,11.0,,,,,,2.0,31.0,15.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/hakim-akbar-1.html,Career,Washington,,,,,,,,,,4.0,52.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/will-allen-2.html,1999,Syracuse,Big East,,DB,11.0,,,,,,2.0,33.0,16.5,0.0,,,,,,18.0,382.0,21.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/will-allen-2.html,2000,Syracuse,Big East,SR,DB,11.0,,,,,,2.0,9.0,4.5,0.0,,,,,,19.0,458.0,24.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/will-allen-2.html,Career,Syracuse,,,,,,,,,,4.0,42.0,10.5,0.0,,,,,,37.0,840.0,22.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/david-allen-1.html,1997,Kansas State,Big 12,,RB,9.0,,,,,,,,,,,,,,,2.0,50.0,25.0,0.0,30.0,403.0,13.4,1.0,1.0,12.0,12.0,0.0,2.0,47.0,23.5,1.0,3.0,59.0,19.7,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/david-allen-1.html,1998,Kansas State,Big 12,,RB,12.0,,,,,,,,,,,,,,,2.0,53.0,26.5,0.0,33.0,729.0,22.1,4.0,31.0,177.0,5.7,1.0,,,,,31.0,177.0,5.7,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/david-allen-1.html,1999,Kansas State,Big 12,,RB,10.0,,,,,,,,,,,,,,,5.0,149.0,29.8,0.0,28.0,390.0,13.9,2.0,74.0,364.0,4.9,6.0,4.0,40.0,10.0,1.0,78.0,404.0,5.2,7.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/david-allen-1.html,2000,Kansas State,Big 12,SR,RB,9.0,,,,,,,,,,,,,,,1.0,17.0,17.0,0.0,12.0,123.0,10.3,0.0,62.0,230.0,3.7,1.0,6.0,55.0,9.2,0.0,68.0,285.0,4.2,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/david-allen-1.html,Career,Kansas State,,,,,,,,,,,,,,,,,,,10.0,269.0,26.9,0.0,103.0,1645.0,16.0,7.0,168.0,783.0,4.7,8.0,12.0,142.0,11.8,2.0,180.0,925.0,5.1,10.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brian-allen-1.html,1997,Florida State,ACC,,LB,11.0,,,,,,,,,,,,,,,,,,,1.0,11.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brian-allen-1.html,1999,Florida State,ACC,,LB,11.0,,,,,,1.0,-3.0,-3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brian-allen-1.html,2000,Florida State,ACC,SR,LB,12.0,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brian-allen-1.html,Career,Florida State,,,,,,,,,,2.0,-3.0,-1.5,0.0,,,,,,,,,,1.0,11.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/adam-archuleta-1.html,*1999,Arizona State,Pac-10,,LB,11.0,,,,,,1.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/adam-archuleta-1.html,*2000,Arizona State,Pac-10,SR,LB,12.0,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/adam-archuleta-1.html,Career,Arizona State,,,,,,,,,,2.0,4.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tom-ashworth-1.html,1997,Colorado,Big 12,,KR,11.0,,,,,,,,,,,,,,,3.0,46.0,15.3,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tom-ashworth-1.html,1998,Colorado,Big 12,,TE,11.0,,,,,,,,,,,,,,,2.0,31.0,15.5,0.0,,,,,,,,,10.0,135.0,13.5,0.0,10.0,135.0,13.5,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tom-ashworth-1.html,Career,Colorado,,,,,,,,,,,,,,,,,,,5.0,77.0,15.4,0.0,,,,,,,,,10.0,135.0,13.5,0.0,10.0,135.0,13.5,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/billy-baber-1.html,1997,Virginia,ACC,,TE,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,93.0,11.6,1.0,8.0,93.0,11.6,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/billy-baber-1.html,1998,Virginia,ACC,,TE,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,117.0,10.6,0.0,11.0,117.0,10.6,0.0,,,,,,,,,,,,,,,,,,,
