NCAA_Link,Year,School,Conf,Class,Pos,G,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF
https://www.sports-reference.com/cfb/players/mike-abrams-1.html,1999,Virginia,ACC,,TE,10.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,1.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mike-abrams-1.html,2000,Virginia,ACC,JR,P,11.0,65.0,2768.0,42.6,,,,,,,,2.0,39.0,19.5,0.0,,,,,2.0,39.0,19.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mike-abrams-1.html,2001,Virginia,ACC,SR,P,12.0,62.0,2616.0,42.2,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mike-abrams-1.html,Career,Virginia,,,,,127.0,5384.0,42.4,,,,,,,,2.0,39.0,19.5,0.0,,,,,2.0,39.0,19.5,0.0,1.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jonathan-adams-1.html,1998,Arkansas State,Ind,,RB,10.0,,,,,,,,,,,88.0,317.0,3.6,0.0,3.0,10.0,3.3,0.0,91.0,327.0,3.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jonathan-adams-1.html,1999,Arkansas State,Big West,,RB,10.0,,,,,,,,,,,145.0,680.0,4.7,6.0,2.0,32.0,16.0,0.0,147.0,712.0,4.8,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jonathan-adams-1.html,2000,Arkansas State,Big West,JR,RB,11.0,,,,,,,,,,,202.0,1004.0,5.0,6.0,15.0,126.0,8.4,1.0,217.0,1130.0,5.2,7.0,1.0,14.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jonathan-adams-1.html,2001,Arkansas State,Sun Belt,SR,RB,11.0,,,,,,,,,,,233.0,1004.0,4.3,5.0,10.0,103.0,10.3,0.0,243.0,1107.0,4.6,5.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,-45.0,0.0,1.0,-200.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jonathan-adams-1.html,Career,Arkansas State,,,,,,,,,,,,,,,668.0,3005.0,4.5,17.0,30.0,271.0,9.0,1.0,698.0,3276.0,4.7,18.0,1.0,14.0,14.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,-45.0,0.0,1.0,-200.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jeremy-allen-1.html,1998,Iowa,Big Ten,,RB,11.0,,,,,,,,,,,4.0,40.0,10.0,0.0,1.0,3.0,3.0,0.0,5.0,43.0,8.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jeremy-allen-1.html,1999,Iowa,Big Ten,,RB,11.0,,,,,,,,,,,9.0,21.0,2.3,0.0,6.0,85.0,14.2,0.0,15.0,106.0,7.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jeremy-allen-1.html,2000,Iowa,Big Ten,JR,RB,9.0,,,,,,,,,,,34.0,135.0,4.0,0.0,9.0,34.0,3.8,0.0,43.0,169.0,3.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jeremy-allen-1.html,*2001,Iowa,Big Ten,SR,RB,12.0,,,,,,,,,,,52.0,242.0,4.7,4.0,20.0,264.0,13.2,4.0,72.0,506.0,7.0,8.0,1.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jeremy-allen-1.html,Career,Iowa,,,,,,,,,,,,,,,99.0,438.0,4.4,4.0,36.0,386.0,10.7,4.0,135.0,824.0,6.1,8.0,1.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brian-allen-2.html,1998,Stanford,Pac-10,,RB,11.0,,,,,,,,,,,76.0,154.0,2.0,0.0,5.0,19.0,3.8,0.0,81.0,173.0,2.1,0.0,8.0,136.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brian-allen-2.html,1999,Stanford,Pac-10,,RB,11.0,,,,,,,,,,,115.0,604.0,5.3,4.0,4.0,39.0,9.8,0.0,119.0,643.0,5.4,4.0,1.0,15.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brian-allen-2.html,2000,Stanford,Pac-10,JR,RB,11.0,,,,,,,,,,,117.0,460.0,3.9,0.0,10.0,105.0,10.5,0.0,127.0,565.0,4.4,0.0,2.0,25.0,12.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brian-allen-2.html,2001,Stanford,Pac-10,SR,RB,11.0,,,,,,,,,,,174.0,899.0,5.2,9.0,4.0,63.0,15.8,0.0,178.0,962.0,5.4,9.0,15.0,399.0,26.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brian-allen-2.html,Career,Stanford,,,,,,,,,,,,,,,482.0,2117.0,4.4,13.0,23.0,226.0,9.8,0.0,505.0,2343.0,4.6,13.0,26.0,575.0,22.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marques-anderson-1.html,*1997,UCLA,Pac-10,,DB,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,,,
https://www.sports-reference.com/cfb/players/marques-anderson-1.html,2000,UCLA,Pac-10,JR,DB,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,11.0,3.7,0.0,,,0.0,1.0,
https://www.sports-reference.com/cfb/players/marques-anderson-1.html,2001,UCLA,Pac-10,SR,DB,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,20.0,10.0,0.0,,,,,
https://www.sports-reference.com/cfb/players/marques-anderson-1.html,Career,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,31.0,3.9,0.0,,,0.0,1.0,
https://www.sports-reference.com/cfb/players/damien-anderson-1.html,1998,Northwestern,Big Ten,,RB,12.0,,,,,,,,,,,164.0,537.0,3.3,4.0,10.0,79.0,7.9,0.0,174.0,616.0,3.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/damien-anderson-1.html,1999,Northwestern,Big Ten,,RB,11.0,,,,,,,,,,,306.0,1128.0,3.7,3.0,16.0,184.0,11.5,0.0,322.0,1312.0,4.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/damien-anderson-1.html,*2000,Northwestern,Big Ten,SR,RB,12.0,,,,,,,,,,,311.0,2063.0,6.6,23.0,19.0,132.0,6.9,0.0,330.0,2195.0,6.7,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/damien-anderson-1.html,2001,Northwestern,Big Ten,SR,RB,8.0,,,,,,,,,,,172.0,757.0,4.4,8.0,13.0,107.0,8.2,0.0,185.0,864.0,4.7,8.0,11.0,284.0,25.8,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/damien-anderson-1.html,Career,Northwestern,,,,,,,,,,,,,,,953.0,4485.0,4.7,38.0,58.0,502.0,8.7,0.0,1011.0,4987.0,4.9,38.0,11.0,284.0,25.8,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mark-anelli-1.html,1999,Wisconsin,Big Ten,,TE,9.0,,,,,,,,,,,,,,,3.0,46.0,15.3,0.0,3.0,46.0,15.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mark-anelli-1.html,2000,Wisconsin,Big Ten,JR,TE,9.0,,,,,,,,,,,,,,,10.0,78.0,7.8,0.0,10.0,78.0,7.8,0.0,4.0,35.0,8.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mark-anelli-1.html,2001,Wisconsin,Big Ten,SR,TE,12.0,,,,,,,,,,,,,,,35.0,357.0,10.2,3.0,35.0,357.0,10.2,3.0,3.0,12.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mark-anelli-1.html,Career,Wisconsin,,,,,,,,,,,,,,,,,,,48.0,481.0,10.0,3.0,48.0,481.0,10.0,3.0,7.0,47.0,6.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/akin-ayodele-1.html,*2000,Purdue,Big Ten,JR,DL,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.5,0.0,,,,,
