NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/sam-aiken-1.html,1999,North Carolina,ACC,,WR,11.0,3.0,16.0,5.3,0.0,,,,,3.0,16.0,5.3,0.0,13.0,275.0,21.2,0.0,12.0,23.0,1.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/sam-aiken-1.html,2000,North Carolina,ACC,SO,WR,11.0,29.0,400.0,13.8,3.0,5.0,32.0,6.4,0.0,34.0,432.0,12.7,3.0,18.0,365.0,20.3,0.0,2.0,20.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/sam-aiken-1.html,2001,North Carolina,ACC,JR,WR,12.0,46.0,789.0,17.2,8.0,2.0,1.0,0.5,0.0,48.0,790.0,16.5,8.0,5.0,105.0,21.0,0.0,9.0,79.0,8.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/sam-aiken-1.html,2002,North Carolina,ACC,SR,WR,12.0,68.0,990.0,14.6,4.0,,,,,68.0,990.0,14.6,4.0,1.0,18.0,18.0,0.0,2.0,5.0,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/sam-aiken-1.html,Career,North Carolina,,,,,146.0,2195.0,15.0,15.0,7.0,33.0,4.7,0.0,153.0,2228.0,14.6,15.0,37.0,763.0,20.6,0.0,25.0,127.0,5.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/paul-arnold-1.html,1999,Washington,Pac-10,,RB,11.0,5.0,11.0,2.2,0.0,40.0,251.0,6.3,2.0,45.0,262.0,5.8,2.0,14.0,348.0,24.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/paul-arnold-1.html,2000,Washington,Pac-10,SO,RB,7.0,10.0,138.0,13.8,0.0,58.0,296.0,5.1,1.0,68.0,434.0,6.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/paul-arnold-1.html,2001,Washington,Pac-10,JR,WR,11.0,43.0,649.0,15.1,4.0,1.0,-6.0,-6.0,0.0,44.0,643.0,14.6,4.0,1.0,16.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/paul-arnold-1.html,*2002,Washington,Pac-10,SR,WR,13.0,37.0,517.0,14.0,5.0,1.0,-4.0,-4.0,0.0,38.0,513.0,13.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/paul-arnold-1.html,Career,Washington,,,,,95.0,1315.0,13.8,9.0,100.0,537.0,5.4,3.0,195.0,1852.0,9.5,12.0,15.0,364.0,24.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bj-askew-1.html,1999,Michigan,Big Ten,,RB,11.0,3.0,4.0,1.3,0.0,23.0,70.0,3.0,1.0,26.0,74.0,2.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bj-askew-1.html,2000,Michigan,Big Ten,SO,RB,11.0,15.0,231.0,15.4,2.0,11.0,40.0,3.6,0.0,26.0,271.0,10.4,2.0,2.0,25.0,12.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bj-askew-1.html,2001,Michigan,Big Ten,JR,RB,11.0,24.0,213.0,8.9,1.0,190.0,831.0,4.4,10.0,214.0,1044.0,4.9,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bj-askew-1.html,*2002,Michigan,Big Ten,SR,RB,13.0,36.0,280.0,7.8,1.0,110.0,568.0,5.2,6.0,146.0,848.0,5.8,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bj-askew-1.html,Career,Michigan,,,,,78.0,728.0,9.3,4.0,334.0,1509.0,4.5,17.0,412.0,2237.0,5.4,21.0,2.0,25.0,12.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nnamdi-asomugha-1.html,2000,California,Pac-10,SO,DB,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,31.0,31.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nnamdi-asomugha-1.html,2001,California,Pac-10,JR,DB,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,11.0,3.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,
