NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/hamza-abdullah-1.html,2004,Washington State,Pac-10,SR,DB,11.0,,,,,,1.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/hamza-abdullah-1.html,Career,Washington State,,,,,,,,,,1.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lorenzo-alexander-1.html,2002,California,Pac-10,SO,DL,12.0,,,,,,,,,,,,,,,1.0,23.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lorenzo-alexander-1.html,Career,California,,,,,,,,,,,,,,,,,,,1.0,23.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jared-allen-1.html,2004,Florida Atlantic,Sun Belt,SR,QB,12.0,,,,,,,,,,,,,,,,,,,,,,,177.0,291.0,60.8,2554.0,8.8,8.4,13.0,8.0,143.8,63.0,-13.0,-0.2,2.0,0.0,0.0,,0.0,63.0,-13.0,-0.2,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jared-allen-1.html,Career,Florida Atlantic,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,291.0,60.8,2554.0,8.8,8.4,13.0,8.0,143.8,63.0,-13.0,-0.2,2.0,0.0,0.0,,0.0,63.0,-13.0,-0.2,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/derek-anderson-1.html,2001,Oregon State,Pac-10,FR,QB,11.0,,,,,,,,,,,,,,,,,,,,,,,17.0,41.0,41.5,263.0,6.4,3.6,1.0,3.0,88.8,5.0,-25.0,-5.0,0.0,,,,,5.0,-25.0,-5.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/derek-anderson-1.html,*2002,Oregon State,Pac-10,SO,QB,13.0,,,,,,,,,,,,,,,,,,,,,,,211.0,449.0,47.0,3313.0,7.4,7.2,25.0,13.0,121.6,45.0,-231.0,-5.1,2.0,,,,,45.0,-231.0,-5.1,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/derek-anderson-1.html,*2003,Oregon State,Pac-10,JR,QB,13.0,,,,,,,,,,,,,,,,,,,,,,,261.0,510.0,51.2,4058.0,8.0,6.8,24.0,24.0,124.1,57.0,-125.0,-2.2,4.0,,,,,57.0,-125.0,-2.2,4.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/derek-anderson-1.html,*2004,Oregon State,Pac-10,SR,QB,12.0,,,,,,,,,,,,,,,,,,,,,,,279.0,515.0,54.2,3615.0,7.0,6.7,29.0,17.0,125.1,75.0,-152.0,-2.0,2.0,,,,,75.0,-152.0,-2.0,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/derek-anderson-1.html,Career,Oregon State,,,,,,,,,,,,,,,,,,,,,,,,,,,768.0,1515.0,50.7,11249.0,7.4,6.8,79.0,57.0,122.7,182.0,-533.0,-2.9,8.0,,,,,182.0,-533.0,-2.9,8.0,,,,,,,,,,
