NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/titus-adams-1.html,*2003,Nebraska,Big 12,SO,DL,12.0,,,,,,2.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/titus-adams-1.html,2005,Nebraska,Big 12,SR,DL,12.0,26.0,23.0,49.0,4.0,1.5,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/titus-adams-1.html,Career,Nebraska,,,,,26.0,23.0,49.0,4.0,1.5,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jahmile-addae-1.html,*2002,West Virginia,Big East,SO,DB,13.0,,,,,,4.0,14.0,3.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jahmile-addae-1.html,*2004,West Virginia,Big East,JR,DB,12.0,,,,,,2.0,51.0,25.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jahmile-addae-1.html,*2005,West Virginia,Big East,SR,DB,12.0,35.0,29.0,64.0,0.0,0.0,2.0,44.0,22.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jahmile-addae-1.html,Career,West Virginia,,,,,35.0,29.0,64.0,0.0,0.0,8.0,109.0,13.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/joseph-addai-1.html,2001,LSU,SEC,FR,RB,2.0,,,,,,,,,,,,,,,8.0,27.0,3.4,0.0,,,,,8.0,27.0,3.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/joseph-addai-1.html,*2002,LSU,SEC,FR,RB,12.0,,,,,,,,,,,,,,,80.0,438.0,5.5,4.0,6.0,81.0,13.5,0.0,86.0,519.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/joseph-addai-1.html,*2003,LSU,SEC,SO,RB,12.0,,,,,,,,,,,,,,,114.0,520.0,4.6,2.0,14.0,86.0,6.1,1.0,128.0,606.0,4.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/joseph-addai-1.html,*2004,LSU,SEC,JR,RB,12.0,,,,,,,,,,,,,,,101.0,680.0,6.7,3.0,26.0,294.0,11.3,4.0,127.0,974.0,7.7,7.0,10.0,175.0,17.5,0.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/joseph-addai-1.html,*2005,LSU,SEC,SR,RB,13.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,187.0,911.0,4.9,9.0,20.0,180.0,9.0,1.0,207.0,1091.0,5.3,10.0,1.0,12.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/joseph-addai-1.html,Career,LSU,,,,,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,490.0,2576.0,5.3,18.0,66.0,641.0,9.7,6.0,556.0,3217.0,5.8,24.0,11.0,187.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/victor-adeyanju-1.html,2004,Indiana,Big Ten,JR,DL,11.0,,,,,,,,,,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/victor-adeyanju-1.html,2005,Indiana,Big Ten,SR,DL,11.0,32.0,15.0,47.0,12.0,6.5,,,,,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/victor-adeyanju-1.html,Career,Indiana,,,,,32.0,15.0,47.0,12.0,6.5,,,,,2.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jason-allen-2.html,*2003,Tennessee,SEC,SO,DB,13.0,,,,,,2.0,20.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jason-allen-2.html,*2004,Tennessee,SEC,JR,DB,13.0,,,,,,2.0,4.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jason-allen-2.html,2005,Tennessee,SEC,SR,DB,5.0,28.0,7.0,35.0,3.0,1.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jason-allen-2.html,Career,Tennessee,,,,,28.0,7.0,35.0,3.0,1.0,4.0,24.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jon-alston-1.html,2004,Stanford,Pac-10,JR,LB,11.0,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jon-alston-1.html,2005,Stanford,Pac-10,SR,LB,11.0,31.0,21.0,52.0,9.5,6.5,1.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,22.0,22.0,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jon-alston-1.html,Career,Stanford,,,,,31.0,21.0,52.0,9.5,6.5,2.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,22.0,22.0,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/sir-henry-anderson-1.html,2005,Oregon State,Pac-10,SR,DL,11.0,22.0,13.0,35.0,11.5,4.5,,,,,3.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/sir-henry-anderson-1.html,Career,Oregon State,,,,,22.0,13.0,35.0,11.5,4.5,,,,,3.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mark-anderson-1.html,2002,Alabama,SEC,FR,LB,12.0,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mark-anderson-1.html,*2005,Alabama,SEC,SR,LB,12.0,23.0,17.0,40.0,14.5,6.5,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mark-anderson-1.html,Career,Alabama,,,,,23.0,17.0,40.0,14.5,6.5,,,,,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/james-anderson-1.html,*2004,Virginia Tech,ACC,JR,LB,13.0,,,,,,1.0,14.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/james-anderson-1.html,*2005,Virginia Tech,ACC,SR,LB,13.0,41.0,41.0,82.0,8.5,3.0,2.0,39.0,19.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/james-anderson-1.html,Career,Virginia Tech,,,,,41.0,41.0,82.0,8.5,3.0,3.0,53.0,17.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/david-anderson-1.html,*2002,Colorado State,MWC,FR,WR,10.0,,,,,,,,,,,,,,,,,,,8.0,180.0,22.5,1.0,8.0,180.0,22.5,1.0,,,,,1.0,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/david-anderson-1.html,*2003,Colorado State,MWC,SO,WR,13.0,,,,,,,,,,,,,,,,,,,72.0,1293.0,18.0,9.0,72.0,1293.0,18.0,9.0,13.0,174.0,13.4,0.0,3.0,16.0,5.3,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/david-anderson-1.html,2004,Colorado State,MWC,JR,WR,11.0,,,,,,,,,,,,,,,1.0,-5.0,-5.0,0.0,57.0,940.0,16.5,2.0,58.0,935.0,16.1,2.0,2.0,46.0,23.0,0.0,20.0,69.0,3.5,0.0,1.0,1.0,100.0,34.0,34.0,54.0,1.0,0.0,715.6,,,,,,,,,,
https://www.sports-reference.com/cfb/players/david-anderson-1.html,*2005,Colorado State,MWC,SR,WR,12.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,3.0,23.0,7.7,0.0,86.0,1221.0,14.2,8.0,89.0,1244.0,14.0,8.0,,,,,1.0,27.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/david-anderson-1.html,Career,Colorado State,,,,,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,4.0,18.0,4.5,0.0,223.0,3634.0,16.3,20.0,227.0,3652.0,16.1,20.0,15.0,220.0,14.7,0.0,25.0,118.0,4.7,0.0,1.0,2.0,50.0,34.0,17.0,27.0,1.0,0.0,357.8,,,,,,,,,,
https://www.sports-reference.com/cfb/players/willie-andrews-1.html,2002,Baylor,Big 12,FR,DB,12.0,,,,,,1.0,27.0,27.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/willie-andrews-1.html,2003,Baylor,Big 12,SO,DB,12.0,,,,,,2.0,24.0,12.0,0.0,,,30.0,1.0,,1.0,7.0,7.0,0.0,,,,,1.0,7.0,7.0,0.0,26.0,641.0,24.7,0.0,29.0,232.0,8.0,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/willie-andrews-1.html,2004,Baylor,Big 12,JR,DB,11.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,30.0,741.0,24.7,0.0,41.0,443.0,10.8,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/willie-andrews-1.html,2005,Baylor,Big 12,SR,DB,11.0,36.0,23.0,59.0,7.5,2.0,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,11.0,265.0,24.1,0.0,27.0,274.0,10.1,0.0,,,,,,,,,,,,,,,,,,,
