NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Punts,Punt_Yds,Punt_Avg,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate
https://www.sports-reference.com/cfb/players/jon-abbate-1.html,2004,Wake Forest,ACC,FR,LB,11.0,,,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jon-abbate-1.html,2005,Wake Forest,ACC,SO,LB,10.0,41.0,36.0,77.0,6.0,2.0,2.0,26.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jon-abbate-1.html,*2006,Wake Forest,ACC,JR,LB,14.0,49.0,71.0,120.0,7.0,3.0,1.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jon-abbate-1.html,Career,Wake Forest,,,,,90.0,107.0,197.0,13.0,5.0,4.0,30.0,7.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/victor-abiamiri-1.html,*2005,Notre Dame,Ind,JR,DL,12.0,34.0,14.0,48.0,15.5,8.5,,,,,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/victor-abiamiri-1.html,*2006,Notre Dame,Ind,SR,DL,13.0,25.0,17.0,42.0,15.0,10.5,,,,,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/victor-abiamiri-1.html,Career,Notre Dame,,,,,59.0,31.0,90.0,30.5,19.0,,,,,2.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/gaines-adams-1.html,2004,Clemson,ACC,SO,DL,11.0,,,,,,,,,,,,,,,2.0,14.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/gaines-adams-1.html,*2005,Clemson,ACC,JR,DL,12.0,26.0,19.0,45.0,11.0,8.5,0.0,0.0,,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/gaines-adams-1.html,*2006,Clemson,ACC,SR,DL,13.0,33.0,18.0,51.0,16.5,12.5,0.0,0.0,,0.0,6.0,3.0,85.0,1.0,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
