NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/kevin-akins-1.html,*2005,Boston College,ACC,FR,DB,9.0,13.0,7.0,20.0,1.5,1.0,1.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kevin-akins-1.html,*2006,Boston College,ACC,SO,LB,13.0,29.0,7.0,36.0,8.5,7.5,1.0,7.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kevin-akins-1.html,*2007,Boston College,ACC,JR,LB,14.0,26.0,6.0,32.0,5.0,4.0,2.0,25.0,12.5,0.0,,,,,,2.0,24.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kevin-akins-1.html,*2008,Boston College,ACC,SR,DB,12.0,30.0,14.0,44.0,5.5,2.5,1.0,62.0,62.0,0.0,,,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kevin-akins-1.html,Career,Boston College,,,,,98.0,34.0,132.0,20.5,15.0,5.0,97.0,19.4,0.0,,,13.0,1.0,,2.0,24.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/asher-allen-1.html,*2006,Georgia,SEC,FR,DB,13.0,20.0,4.0,24.0,1.5,0.0,,,,,,,,,,19.0,420.0,22.1,0.0,4.0,54.0,13.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/asher-allen-1.html,*2007,Georgia,SEC,SO,DB,13.0,50.0,14.0,64.0,3.0,2.0,3.0,4.0,1.3,0.0,,,,,,28.0,690.0,24.6,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/asher-allen-1.html,*2008,Georgia,SEC,JR,DB,13.0,44.0,9.0,53.0,4.5,1.0,,,,,,,,,,,,,,5.0,91.0,18.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/asher-allen-1.html,Career,Georgia,,,,,114.0,27.0,141.0,9.0,3.0,3.0,4.0,1.3,0.0,,,,,,47.0,1110.0,23.6,0.0,10.0,146.0,14.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/stanley-arnoux-1.html,2005,Wake Forest,ACC,FR,LB,11.0,16.0,11.0,27.0,1.5,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/stanley-arnoux-1.html,*2006,Wake Forest,ACC,SO,LB,14.0,32.0,37.0,69.0,7.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
