NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/seyi-ajirotutu-1.html,2006,Fresno State,WAC,FR,WR,9.0,4.0,34.0,8.5,0.0,2.0,3.0,1.5,0.0,6.0,37.0,6.2,0.0,6.0,1.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/seyi-ajirotutu-1.html,*2007,Fresno State,WAC,SO,WR,11.0,29.0,491.0,16.9,0.0,,,,,29.0,491.0,16.9,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/seyi-ajirotutu-1.html,*2008,Fresno State,WAC,JR,WR,13.0,47.0,795.0,16.9,5.0,0.0,0.0,,1.0,47.0,795.0,16.9,6.0,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/seyi-ajirotutu-1.html,*2009,Fresno State,WAC,SR,WR,13.0,49.0,677.0,13.8,7.0,,,,,49.0,677.0,13.8,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/seyi-ajirotutu-1.html,Career,Fresno State,,,,,129.0,1997.0,15.5,12.0,2.0,3.0,1.5,1.0,131.0,2000.0,15.3,13.0,7.0,1.0,8.0,0.0,0.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rahim-alem-1.html,*2006,LSU,SEC,FR,DL,5.0,,,,,,,,,,,,,1.0,1.0,2.0,1.5,0.0,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rahim-alem-1.html,*2007,LSU,SEC,SO,DL,12.0,,,,,,,,,,,,,7.0,1.0,8.0,4.0,2.0,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rahim-alem-1.html,*2008,LSU,SEC,JR,DL,13.0,,,,,,,,,,,,,15.0,14.0,29.0,11.5,8.0,,,,,2.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rahim-alem-1.html,*2009,LSU,SEC,SR,DL,13.0,,,,,,,,,,,,,20.0,13.0,33.0,7.5,4.5,,,,,2.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rahim-alem-1.html,Career,LSU,,,,,,,,,,,,,,,,,43.0,29.0,72.0,24.5,14.5,,,,,5.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
