NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Punts,Punt_Yds,Punt_Avg
https://www.sports-reference.com/cfb/players/sam-acho-1.html,*2007,Texas,Big 12,FR,DL,10.0,3.0,3.0,6.0,1.0,1.0,,,,,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/sam-acho-1.html,*2008,Texas,Big 12,SO,DL,13.0,9.0,5.0,14.0,3.0,3.0,,,,,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/sam-acho-1.html,*2009,Texas,Big 12,JR,DL,14.0,42.0,17.0,59.0,13.0,9.0,,,,,3.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/sam-acho-1.html,2010,Texas,Big 12,SR,DL,12.0,39.0,19.0,58.0,15.5,8.0,,,,,1.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/sam-acho-1.html,Career,Texas,,,,,93.0,44.0,137.0,32.5,21.0,,,,,8.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/darvin-adams-1.html,2008,Auburn,SEC,FR,WR,10.0,2.0,2.0,4.0,0.0,0.0,,,,,,,,,,3.0,18.0,6.0,0.0,,,,,3.0,18.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/darvin-adams-1.html,*2009,Auburn,SEC,SO,WR,13.0,5.0,1.0,6.0,0.0,0.0,,,,,,,,,,60.0,997.0,16.6,10.0,,,,,60.0,997.0,16.6,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/darvin-adams-1.html,*2010,Auburn,SEC,JR,WR,14.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,52.0,963.0,18.5,7.0,,,,,52.0,963.0,18.5,7.0,2.0,21.0,10.5,0.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/darvin-adams-1.html,Career,Auburn,,,,,9.0,3.0,12.0,0.0,0.0,,,,,,,,,,115.0,1978.0,17.2,17.0,,,,,115.0,1978.0,17.2,17.0,2.0,21.0,10.5,0.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/danny-aiken-1.html,*2007,Virginia,ACC,FR,OL,12.0,3.0,2.0,5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/danny-aiken-1.html,2008,Virginia,ACC,SO,OL,12.0,0.0,3.0,3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/danny-aiken-1.html,2010,Virginia,ACC,SR,OL,12.0,2.0,2.0,4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/danny-aiken-1.html,Career,Virginia,,,,,5.0,7.0,12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ladi-ajiboye-1.html,2007,South Carolina,SEC,FR,DL,12.0,27.0,12.0,39.0,3.5,3.0,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ladi-ajiboye-1.html,*2008,South Carolina,SEC,SO,DL,13.0,17.0,5.0,22.0,1.5,1.5,,,,,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ladi-ajiboye-1.html,*2009,South Carolina,SEC,JR,DL,10.0,33.0,12.0,45.0,4.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ladi-ajiboye-1.html,*2010,South Carolina,SEC,SR,DL,14.0,16.0,25.0,41.0,5.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ladi-ajiboye-1.html,Career,South Carolina,,,,,93.0,54.0,147.0,14.0,6.5,,,,,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/pierre-allen-1.html,2007,Nebraska,Big 12,FR,DL,11.0,7.0,9.0,16.0,2.5,0.0,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/pierre-allen-1.html,*2008,Nebraska,Big 12,SO,DL,13.0,21.0,31.0,52.0,8.5,5.0,,,,,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/pierre-allen-1.html,*2009,Nebraska,Big 12,JR,DL,14.0,18.0,32.0,50.0,8.5,5.0,,,,,5.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/pierre-allen-1.html,*2010,Nebraska,Big 12,SR,DL,14.0,25.0,39.0,64.0,7.5,3.0,,,,,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/pierre-allen-1.html,Career,Nebraska,,,,,71.0,111.0,182.0,27.0,13.0,,,,,9.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/armando-allen-1.html,2007,Notre Dame,Ind,FR,RB,12.0,,,,,,,,,,,,,,,24.0,124.0,5.2,1.0,86.0,348.0,4.0,0.0,110.0,472.0,4.3,1.0,,,,,33.0,704.0,21.3,0.0,1.0,1.0,100.0,10.0,10.0,10.0,0.0,0.0,184.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/armando-allen-1.html,*2008,Notre Dame,Ind,SO,RB,13.0,,,,,,,,,,,,,,,50.0,355.0,7.1,2.0,134.0,585.0,4.4,3.0,184.0,940.0,5.1,5.0,7.0,66.0,9.4,0.0,21.0,543.0,25.9,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/armando-allen-1.html,2009,Notre Dame,Ind,JR,RB,9.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,28.0,216.0,7.7,0.0,142.0,697.0,4.9,3.0,170.0,913.0,5.4,3.0,,,,,,,,,1.0,1.0,100.0,5.0,5.0,25.0,1.0,0.0,472.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/armando-allen-1.html,*2010,Notre Dame,Ind,SR,RB,8.0,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,17.0,138.0,8.1,0.0,107.0,514.0,4.8,2.0,124.0,652.0,5.3,2.0,2.0,47.0,23.5,0.0,,,,,1.0,1.0,100.0,3.0,3.0,3.0,0.0,0.0,125.2,,,,,,,,,,
https://www.sports-reference.com/cfb/players/armando-allen-1.html,Career,Notre Dame,,,,,2.0,1.0,3.0,0.0,0.0,,,,,,,,,,119.0,833.0,7.0,3.0,469.0,2144.0,4.6,8.0,588.0,2977.0,5.1,11.0,9.0,113.0,12.6,0.0,54.0,1247.0,23.1,1.0,3.0,3.0,100.0,18.0,6.0,12.7,1.0,0.0,260.4,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-allen-1.html,*2006,Louisville,Big East,FR,RB,13.0,3.0,4.0,7.0,0.0,0.0,,,,,,,,,,4.0,48.0,12.0,1.0,96.0,406.0,4.2,13.0,100.0,454.0,4.5,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-allen-1.html,2007,Louisville,Big East,SO,RB,12.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,21.0,153.0,7.3,2.0,146.0,696.0,4.8,7.0,167.0,849.0,5.1,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-allen-1.html,*2009,Georgia Tech,ACC,JR,RB,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,112.0,22.4,1.0,64.0,618.0,9.7,6.0,69.0,730.0,10.6,7.0,0.0,0.0,,0.0,2.0,29.0,14.5,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-allen-1.html,*2010,Georgia Tech,ACC,SR,RB,13.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,3.0,88.0,29.3,1.0,240.0,1316.0,5.5,7.0,243.0,1404.0,5.8,8.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-allen-1.html,Career,Overall,,,,,5.0,4.0,9.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,33.0,401.0,12.2,5.0,546.0,3036.0,5.6,33.0,579.0,3437.0,5.9,38.0,0.0,0.0,,0.0,2.0,29.0,14.5,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-allen-1.html,,Louisville,,,,,4.0,4.0,8.0,0.0,0.0,,,,,,,,,,25.0,201.0,8.0,3.0,242.0,1102.0,4.6,20.0,267.0,1303.0,4.9,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-allen-1.html,,Georgia Tech,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,200.0,25.0,2.0,304.0,1934.0,6.4,13.0,312.0,2134.0,6.8,15.0,0.0,0.0,,0.0,2.0,29.0,14.5,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/prince-amukamara-1.html,2007,Nebraska,Big 12,FR,DB,8.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/prince-amukamara-1.html,*2008,Nebraska,Big 12,SO,DB,13.0,21.0,13.0,34.0,2.0,1.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/prince-amukamara-1.html,*2009,Nebraska,Big 12,JR,DB,14.0,41.0,23.0,64.0,3.0,2.0,5.0,63.0,12.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/prince-amukamara-1.html,*2010,Nebraska,Big 12,SR,DB,14.0,36.0,23.0,59.0,1.0,1.0,0.0,0.0,,0.0,13.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/prince-amukamara-1.html,Career,Nebraska,,,,,100.0,61.0,161.0,6.0,4.0,5.0,63.0,12.6,0.0,15.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/matt-asiata-1.html,*2007,Utah,MWC,JR,RB,1.0,,,,,,,,,,,,,,,,,,,4.0,16.0,4.0,0.0,4.0,16.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/matt-asiata-1.html,*2008,Utah,MWC,JR,RB,13.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,13.0,111.0,8.5,1.0,146.0,707.0,4.8,12.0,159.0,818.0,5.1,13.0,,,,,,,,,2.0,3.0,66.7,36.0,12.0,25.3,2.0,0.0,387.5,,,,,,,,,,
https://www.sports-reference.com/cfb/players/matt-asiata-1.html,*2009,Utah,MWC,SR,RB,4.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,9.0,88.0,9.8,0.0,74.0,330.0,4.5,4.0,83.0,418.0,5.0,4.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
