NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/emmanuel-acho-1.html,*2008,Texas,Big 12,FR,LB,10.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/emmanuel-acho-1.html,*2009,Texas,Big 12,SO,LB,14.0,36.0,9.0,45.0,9.5,2.0,1.0,13.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/emmanuel-acho-1.html,2010,Texas,Big 12,JR,LB,11.0,45.0,34.0,79.0,8.5,2.5,1.0,57.0,57.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/emmanuel-acho-1.html,*2011,Texas,Big 12,SR,LB,13.0,55.0,55.0,110.0,14.5,3.0,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/emmanuel-acho-1.html,Career,Texas,,,,,142.0,98.0,240.0,32.5,7.5,2.0,70.0,35.0,1.0,6.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/joe-adams-1.html,2008,Arkansas,SEC,FR,WR,12.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,31.0,377.0,12.2,1.0,6.0,46.0,7.7,0.0,37.0,423.0,11.4,1.0,,,,,1.0,20.0,20.0,0.0,1.0,1.0,100.0,6.0,6.0,26.0,1.0,0.0,480.4,,,,,,,,,,
https://www.sports-reference.com/cfb/players/joe-adams-1.html,*2009,Arkansas,SEC,SO,WR,10.0,,,,,,,,,,,,,,,29.0,568.0,19.6,7.0,5.0,31.0,6.2,1.0,34.0,599.0,17.6,8.0,1.0,0.0,0.0,0.0,2.0,41.0,20.5,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/joe-adams-1.html,*2010,Arkansas,SEC,JR,WR,12.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,50.0,813.0,16.3,6.0,6.0,32.0,5.3,0.0,56.0,845.0,15.1,6.0,16.0,249.0,15.6,1.0,4.0,63.0,15.8,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/joe-adams-1.html,*2011,Arkansas,SEC,SR,WR,13.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,54.0,652.0,12.1,3.0,10.0,139.0,13.9,1.0,64.0,791.0,12.4,4.0,19.0,321.0,16.9,4.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/joe-adams-1.html,Career,Arkansas,,,,,2.0,1.0,3.0,0.0,0.0,,,,,,,,,,164.0,2410.0,14.7,17.0,27.0,248.0,9.2,2.0,191.0,2658.0,13.9,19.0,36.0,570.0,15.8,5.0,7.0,124.0,17.7,0.0,1.0,1.0,100.0,6.0,6.0,26.0,1.0,0.0,480.4,,,,,,,,,,
