NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD
https://www.sports-reference.com/cfb/players/oday-aboushi-1.html,*2011,Virginia,ACC,JR,OL,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/oday-aboushi-1.html,2012,Virginia,ACC,SR,OL,,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/oday-aboushi-1.html,Career,Virginia,,,,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/johnny-adams-1.html,*2008,Michigan State,Big Ten,FR,DB,12.0,15.0,6.0,21.0,2.0,0.0,2.0,40.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/johnny-adams-1.html,*2010,Michigan State,Big Ten,SO,DB,13.0,34.0,16.0,50.0,2.0,0.0,3.0,38.0,12.7,0.0,7.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/johnny-adams-1.html,*2011,Michigan State,Big Ten,JR,DB,14.0,37.0,14.0,51.0,4.0,3.0,3.0,141.0,47.0,1.0,6.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/johnny-adams-1.html,*2012,Michigan State,Big Ten,SR,DB,12.0,23.0,12.0,35.0,3.0,1.0,3.0,11.0,3.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/johnny-adams-1.html,Career,Michigan State,,,,,109.0,48.0,157.0,11.0,4.0,11.0,230.0,20.9,2.0,13.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ryan-allen-1.html,2010,Louisiana Tech,WAC,SO,P,12.0,,,,,,,,,,,,,,,60.0,2447.0,40.8,,,,,,,,1.0,1.0,100.0,8.0,8.0,8.0,0.0,0.0,167.2,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ryan-allen-1.html,*2011,Louisiana Tech,WAC,JR,P,13.0,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,83.0,3828.0,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ryan-allen-1.html,2012,Louisiana Tech,WAC,SR,P,12.0,,,,,,,,,,,,,,,45.0,2162.0,48.0,,,,,,,,1.0,1.0,100.0,7.0,7.0,7.0,0.0,0.0,158.8,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ryan-allen-1.html,Career,Louisiana Tech,,,,,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,188.0,8437.0,44.9,,,,,,,,2.0,2.0,100.0,15.0,7.5,7.5,0.0,0.0,163.0,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/keenan-allen-1.html,2010,California,Pac-10,FR,WR,11.0,3.0,0.0,3.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,1.0,1.0,100.0,17.0,17.0,37.0,1.0,0.0,572.8,46.0,490.0,10.7,5.0,18.0,136.0,7.6,1.0,64.0,626.0,9.8,6.0,2.0,8.0,4.0,0.0,18.0,406.0,22.6,0.0
https://www.sports-reference.com/cfb/players/keenan-allen-1.html,*2011,California,Pac-12,SO,WR,13.0,3.0,0.0,3.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,1.0,1.0,100.0,27.0,27.0,27.0,0.0,0.0,326.8,98.0,1343.0,13.7,6.0,9.0,55.0,6.1,0.0,107.0,1398.0,13.1,6.0,4.0,32.0,8.0,0.0,,,,
https://www.sports-reference.com/cfb/players/keenan-allen-1.html,2012,California,Pac-12,JR,WR,9.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,100.0,8.0,8.0,8.0,0.0,0.0,167.2,61.0,737.0,12.1,6.0,3.0,39.0,13.0,1.0,64.0,776.0,12.1,7.0,15.0,212.0,14.1,1.0,,,,
https://www.sports-reference.com/cfb/players/keenan-allen-1.html,Career,California,,,,,7.0,0.0,7.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,3.0,3.0,100.0,52.0,17.3,24.0,1.0,0.0,355.6,205.0,2570.0,12.5,17.0,30.0,230.0,7.7,2.0,235.0,2800.0,11.9,19.0,21.0,252.0,12.0,1.0,18.0,406.0,22.6,0.0
https://www.sports-reference.com/cfb/players/kiko-alonso-1.html,*2009,Oregon,Pac-10,FR,LB,12.0,13.0,3.0,16.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kiko-alonso-1.html,*2010,Oregon,Pac-10,SO,LB,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kiko-alonso-1.html,*2011,Oregon,Pac-12,JR,LB,12.0,28.0,18.0,46.0,6.0,2.5,2.0,6.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kiko-alonso-1.html,*2012,Oregon,Pac-12,SR,LB,12.0,58.0,23.0,81.0,14.0,1.0,4.0,62.0,15.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
