NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Punts,Punt_Yds,Punt_Avg
https://www.sports-reference.com/cfb/players/jared-abbrederis-1.html,*2010,Wisconsin,Big Ten,FR,WR,13.0,20.0,289.0,14.5,3.0,3.0,27.0,9.0,0.0,23.0,316.0,13.7,3.0,7.0,67.0,9.6,0.0,3.0,111.0,37.0,0.0,1.0,1.0,2.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jared-abbrederis-1.html,*2011,Wisconsin,Big Ten,SO,WR,14.0,55.0,933.0,17.0,8.0,11.0,62.0,5.6,0.0,66.0,995.0,15.1,8.0,20.0,315.0,15.8,1.0,28.0,689.0,24.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jared-abbrederis-1.html,*2012,Wisconsin,Big Ten,JR,WR,13.0,49.0,837.0,17.1,5.0,8.0,83.0,10.4,0.0,57.0,920.0,16.1,5.0,17.0,111.0,6.5,0.0,,,,,,,,,,,,,,,,,,,1.0,1.0,100.0,27.0,27.0,27.0,0.0,0.0,326.8,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jared-abbrederis-1.html,*2013,Wisconsin,Big Ten,SR,WR,13.0,78.0,1081.0,13.9,7.0,6.0,119.0,19.8,2.0,84.0,1200.0,14.3,9.0,11.0,94.0,8.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jared-abbrederis-1.html,Career,Wisconsin,,,,,202.0,3140.0,15.5,23.0,28.0,291.0,10.4,2.0,230.0,3431.0,14.9,25.0,55.0,587.0,10.7,1.0,31.0,800.0,25.8,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,1.0,100.0,27.0,27.0,27.0,0.0,0.0,326.8,,,,,,,,,,
https://www.sports-reference.com/cfb/players/davante-adams-1.html,*2012,Fresno State,MWC,FR,WR,13.0,102.0,1312.0,12.9,14.0,,,,,102.0,1312.0,12.9,14.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/davante-adams-1.html,*2013,Fresno State,MWC,SO,WR,13.0,131.0,1719.0,13.1,24.0,0.0,0.0,,0.0,131.0,1719.0,13.1,24.0,2.0,16.0,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/davante-adams-1.html,Career,Fresno State,,,,,233.0,3031.0,13.0,38.0,0.0,0.0,,0.0,233.0,3031.0,13.0,38.0,2.0,16.0,8.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/maurice-alexander-1.html,*2011,Utah State,WAC,JR,LB,12.0,,,,,,,,,,,,,,,,,,,,,27.0,18.0,45.0,7.0,3.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/maurice-alexander-1.html,*2013,Utah State,MWC,SR,S,13.0,,,,,,,,,,,,,,,,,,,,,39.0,40.0,79.0,9.0,3.5,1.0,3.0,3.0,0.0,6.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
