NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Punts,Punt_Yds,Punt_Avg
https://www.sports-reference.com/cfb/players/mehdi-abdesmad-1.html,2011,Boston College,ACC,FR,DL,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mehdi-abdesmad-1.html,2012,Boston College,ACC,SO,DL,,10.0,15.0,25.0,3.0,0.0,,,,,1.0,1.0,5.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mehdi-abdesmad-1.html,*2013,Boston College,ACC,JR,DL,4.0,8.0,8.0,16.0,3.5,2.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mehdi-abdesmad-1.html,*2014,Boston College,ACC,SR,DL,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mehdi-abdesmad-1.html,2015,Boston College,ACC,SR,DL,11.0,35.0,14.0,49.0,15.0,5.5,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mehdi-abdesmad-1.html,Career,Boston College,,,,,57.0,40.0,97.0,21.5,7.5,0.0,0.0,,0.0,1.0,1.0,5.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/vernon-adams-1.html,*2015,Oregon,Pac-12,SR,QB,10.0,,,,,,,,,,,,,,,168.0,259.0,64.9,2643.0,10.2,11.2,26.0,6.0,179.1,83.0,147.0,1.8,2.0,0.0,0.0,,0.0,83.0,147.0,1.8,2.0,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/vernon-adams-1.html,Career,Oregon,,,,,,,,,,,,,,,,,,,168.0,259.0,64.9,2643.0,10.2,11.2,26.0,6.0,179.1,83.0,147.0,1.8,2.0,0.0,0.0,,0.0,83.0,147.0,1.8,2.0,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jerell-adams-1.html,*2012,South Carolina,SEC,FR,TE,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,90.0,22.5,1.0,4.0,90.0,22.5,1.0,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jerell-adams-1.html,*2013,South Carolina,SEC,SO,TE,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,,0.0,13.0,187.0,14.4,2.0,13.0,187.0,14.4,2.0,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jerell-adams-1.html,*2014,South Carolina,SEC,JR,TE,9.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,,0.0,21.0,279.0,13.3,1.0,21.0,279.0,13.3,1.0,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jerell-adams-1.html,2015,South Carolina,SEC,SR,TE,12.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,,0.0,28.0,421.0,15.0,3.0,28.0,421.0,15.0,3.0,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jerell-adams-1.html,Career,South Carolina,,,,,7.0,1.0,8.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,,0.0,66.0,977.0,14.8,7.0,66.0,977.0,14.8,7.0,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bralon-addison-1.html,*2012,Oregon,Pac-12,FR,WR,13.0,1.0,2.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,-2.0,-2.0,0.0,22.0,243.0,11.0,3.0,23.0,241.0,10.5,3.0,4.0,19.0,4.8,0.0,3.0,46.0,15.3,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bralon-addison-1.html,*2013,Oregon,Pac-12,SO,WR,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,3.0,21.0,7.0,0.0,61.0,890.0,14.6,7.0,64.0,911.0,14.2,7.0,20.0,281.0,14.1,2.0,0.0,0.0,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bralon-addison-1.html,*2015,Oregon,Pac-12,JR,WR,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,2.0,50.0,39.0,19.5,29.5,1.0,0.0,378.8,17.0,84.0,4.9,2.0,63.0,804.0,12.8,10.0,80.0,888.0,11.1,12.0,13.0,151.0,11.6,1.0,9.0,174.0,19.3,0.0,,,,,,,,,,
