NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Punts,Punt_Yds,Punt_Avg
https://www.sports-reference.com/cfb/players/trey-adams-2.html,*2015,Washington,Pac-12,FR,OL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/trey-adams-2.html,*2016,Washington,Pac-12,SO,OL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/trey-adams-2.html,*2017,Washington,Pac-12,JR,OL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,9.0,9.0,0.0,0.0,0.0,,0.0,1.0,9.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/trey-adams-2.html,Career,Washington,,,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,9.0,9.0,0.0,0.0,0.0,,0.0,1.0,9.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mctelvin-agim-1.html,*2016,Arkansas,SEC,FR,DL,9.0,8.0,12.0,20.0,5.0,2.5,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mctelvin-agim-1.html,2017,Arkansas,SEC,SO,DL,11.0,15.0,22.0,37.0,7.5,2.5,0.0,0.0,,0.0,3.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mctelvin-agim-1.html,2018,Arkansas,SEC,JR,DL,12.0,19.0,26.0,45.0,10.0,4.5,0.0,0.0,,0.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mctelvin-agim-1.html,2019,Arkansas,SEC,SR,DL,11.0,20.0,19.0,39.0,8.5,5.0,0.0,0.0,,0.0,0.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mctelvin-agim-1.html,Career,Arkansas,,,,,62.0,79.0,141.0,31.0,14.5,0.0,0.0,,0.0,4.0,2.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/salvon-ahmed-1.html,*2017,Washington,Pac-12,FR,RB,13.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,61.0,388.0,6.4,3.0,13.0,77.0,5.9,0.0,74.0,465.0,6.3,3.0,14.0,353.0,25.2,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/salvon-ahmed-1.html,*2018,Washington,Pac-12,SO,RB,14.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,104.0,608.0,5.8,7.0,21.0,170.0,8.1,0.0,125.0,778.0,6.2,7.0,1.0,31.0,31.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/salvon-ahmed-1.html,*2019,Washington,Pac-12,JR,RB,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,188.0,1020.0,5.4,11.0,16.0,84.0,5.3,0.0,204.0,1104.0,5.4,11.0,5.0,116.0,23.2,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/salvon-ahmed-1.html,Career,Washington,,,,,3.0,2.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,353.0,2016.0,5.7,21.0,50.0,331.0,6.6,0.0,403.0,2347.0,5.8,21.0,20.0,500.0,25.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brandon-aiyuk-1.html,*2018,Arizona State,Pac-12,JR,WR,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,33.0,474.0,14.4,3.0,33.0,474.0,14.4,3.0,15.0,339.0,22.6,0.0,11.0,67.0,6.1,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brandon-aiyuk-1.html,*2019,Arizona State,Pac-12,SR,WR,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,6.0,6.0,0.0,65.0,1192.0,18.3,8.0,66.0,1198.0,18.2,8.0,14.0,446.0,31.9,0.0,14.0,226.0,16.1,1.0,,,,,,,,,,,,,,,,,,,
