NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
http://www.sports-reference.com/cfb/players/kaulana-noa-1.html,1999,Hawaii,WAC,,OL,12.0,1.0,-1.0,-1.0,0.0,,,,,1.0,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/kaulana-noa-1.html,Career,Hawaii,,,,,1.0,-1.0,-1.0,0.0,,,,,1.0,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/anthony-lucas-1.html,1995,Arkansas,SEC,,WR,11.0,27.0,526.0,19.5,4.0,,,,,27.0,526.0,19.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/anthony-lucas-1.html,1996,Arkansas,SEC,,WR,1.0,3.0,32.0,10.7,0.0,,,,,3.0,32.0,10.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/anthony-lucas-1.html,1997,Arkansas,SEC,,WR,11.0,27.0,495.0,18.3,4.0,1.0,3.0,3.0,0.0,28.0,498.0,17.8,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/anthony-lucas-1.html,1998,Arkansas,SEC,,WR,10.0,43.0,1004.0,23.3,10.0,,,,,43.0,1004.0,23.3,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/anthony-lucas-1.html,1999,Arkansas,SEC,,WR,10.0,37.0,822.0,22.2,5.0,,,,,37.0,822.0,22.2,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/anthony-lucas-1.html,Career,Arkansas,,,,,137.0,2879.0,21.0,23.0,1.0,3.0,3.0,0.0,138.0,2882.0,20.9,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/thomas-hamner-1.html,1996,Minnesota,Big Ten,,RB,11.0,15.0,81.0,5.4,0.0,195.0,883.0,4.5,3.0,210.0,964.0,4.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/thomas-hamner-1.html,1997,Minnesota,Big Ten,,RB,12.0,13.0,95.0,7.3,1.0,170.0,663.0,3.9,4.0,183.0,758.0,4.1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/thomas-hamner-1.html,1998,Minnesota,Big Ten,,RB,11.0,13.0,72.0,5.5,0.0,209.0,838.0,4.0,4.0,222.0,910.0,4.1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/thomas-hamner-1.html,*1999,Minnesota,Big Ten,,RB,12.0,21.0,305.0,14.5,3.0,308.0,1426.0,4.6,10.0,329.0,1731.0,5.3,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/thomas-hamner-1.html,Career,Minnesota,,,,,62.0,553.0,8.9,4.0,882.0,3810.0,4.3,21.0,944.0,4363.0,4.6,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/john-frank-2.html,1999,Utah,MWC,,DL,11.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/john-frank-2.html,Career,Utah,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/sherrod-gideon-1.html,1996,Southern Mississippi,CUSA,,WR,11.0,33.0,500.0,15.2,1.0,1.0,-3.0,-3.0,0.0,34.0,497.0,14.6,1.0,,,,,,,,,,,,,,,,,,,8.0,162.0,20.3,0.0,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/sherrod-gideon-1.html,*1997,Southern Mississippi,CUSA,,WR,12.0,54.0,1008.0,18.7,9.0,,,,,54.0,1008.0,18.7,9.0,,,,,,,,,,,,,,,33.0,347.0,10.5,0.0,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/sherrod-gideon-1.html,1998,Southern Mississippi,CUSA,,WR,11.0,66.0,1186.0,18.0,13.0,,,,,66.0,1186.0,18.0,13.0,,,,,,,,,,,,,,,5.0,33.0,6.6,0.0,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/sherrod-gideon-1.html,1999,Southern Mississippi,CUSA,,WR,8.0,40.0,520.0,13.0,7.0,,,,,40.0,520.0,13.0,7.0,,,,,,,,,,,,,,,6.0,41.0,6.8,0.0,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/sherrod-gideon-1.html,Career,Southern Mississippi,,,,,193.0,3214.0,16.7,30.0,1.0,-3.0,-3.0,0.0,194.0,3211.0,16.6,30.0,,,,,,,,,,,,,,,44.0,421.0,9.6,0.0,8.0,162.0,20.3,0.0,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/jason-gavadza-1.html,1996,Kent State,MAC,,TE,9.0,1.0,16.0,16.0,0.0,,,,,1.0,16.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/jason-gavadza-1.html,1997,Kent State,MAC,,TE,11.0,19.0,382.0,20.1,4.0,,,,,19.0,382.0,20.1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/jason-gavadza-1.html,1998,Kent State,MAC,,TE,11.0,19.0,260.0,13.7,2.0,,,,,19.0,260.0,13.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/jason-gavadza-1.html,1999,Kent State,MAC,,TE,11.0,47.0,654.0,13.9,7.0,,,,,47.0,654.0,13.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/jason-gavadza-1.html,Career,Kent State,,,,,86.0,1312.0,15.3,13.0,,,,,86.0,1312.0,15.3,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/jeff-harris-2.html,1996,Georgia,SEC,,DB,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.0,12.0,0.0,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/jeff-harris-2.html,1998,Georgia,SEC,,DB,11.0,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/jeff-harris-2.html,1999,Georgia,SEC,,DB,10.0,,,,,,,,,,,,,,,,,,2.0,9.0,4.5,0.0,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/jeff-harris-2.html,Career,Georgia,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,1.5,0.0,,,,,,,,,,1.0,12.0,12.0,0.0,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/ethan-howell-1.html,1998,Oklahoma State,Big 12,,WR,11.0,11.0,351.0,31.9,3.0,,,,,11.0,351.0,31.9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/ethan-howell-1.html,1999,Oklahoma State,Big 12,,WR,11.0,32.0,496.0,15.5,3.0,,,,,32.0,496.0,15.5,3.0,,,,,,,,,,,,,,,,,,,3.0,37.0,12.3,0.0,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/ethan-howell-1.html,Career,Oklahoma State,,,,,43.0,847.0,19.7,6.0,,,,,43.0,847.0,19.7,6.0,,,,,,,,,,,,,,,,,,,3.0,37.0,12.3,0.0,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/patrick-lee-1.html,*2005,Auburn,SEC,SO,DB,11.0,,,,,,,,,,,,,7.0,2.0,9.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/patrick-lee-1.html,*2006,Auburn,SEC,JR,DB,12.0,,,,,,,,,,,,,15.0,10.0,25.0,1.0,0.0,1.0,18.0,18.0,8.0,,,20.0,1.0,,,,,,1.0,15.0,15.0,0.0,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/patrick-lee-1.html,*2007,Auburn,SEC,SR,DB,13.0,,,,,,,,,,,,,40.0,15.0,55.0,1.0,0.0,4.0,34.0,8.5,0.0,,,,,,,,,,11.0,284.0,25.8,0.0,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/patrick-lee-1.html,Career,Auburn,,,,,,,,,,,,,,,,,62.0,27.0,89.0,2.0,0.0,5.0,52.0,10.4,8.0,3.0,0.0,20.0,1.0,0.0,0.0,0.0,,0.0,12.0,299.0,24.9,0.0,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/dante-fowler-jr-1.html,*2012,Florida,SEC,FR,LB,,,,,,,,,,,,,,13.0,17.0,30.0,8.0,2.5,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/dante-fowler-jr-1.html,2013,Florida,SEC,,DL,12.0,,,,,,,,,,,,,31.0,19.0,50.0,10.0,3.5,0.0,0.0,,0.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/dante-fowler-jr-1.html,*2014,Florida,SEC,JR,DL,12.0,,,,,,,,,,,,,29.0,31.0,60.0,15.0,8.5,0.0,0.0,,0.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/dante-fowler-jr-1.html,Career,Florida,,,,,,,,,,,,,,,,,73.0,67.0,140.0,33.0,14.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
