Year,Player,Pos,School,NCAA_Link
1999,Joe Hamilton,QB,Georgia Tech,https://www.sports-reference.com/cfb/players/joe-hamilton-1.html
1999,Ron Dayne,RB,Wisconsin,https://www.sports-reference.com/cfb/players/ron-dayne-1.html
1999,Thomas Jones,RB,Virginia,https://www.sports-reference.com/cfb/players/thomas-jones-1.html
1999,Troy Walters,WR,Stanford,https://www.sports-reference.com/cfb/players/troy-walters-1.html
1999,Peter Warrick,WR,Florida State,https://www.sports-reference.com/cfb/players/peter-warrick-1.html
1999,James Whalen,TE,Kentucky,https://www.sports-reference.com/cfb/players/james-whalen-1.html
1999,Cosey Coleman,OL,Tennessee,https://www.sports-reference.com/cfb/players/cosey-coleman-1.html
1999,Ben Hamilton,OL,Minnesota,https://www.sports-reference.com/cfb/players/ben-hamilton-1.html
1999,Chris Mcintosh,OL,Wisconsin,https://www.sports-reference.com/cfb/players/chris-mcintosh-1.html
1999,Rob Riti,OL,Missouri,https://www.sports-reference.com/cfb/players/rob-riti-1.html
1999,Chris Samuels,OL,Alabama,https://www.sports-reference.com/cfb/players/chris-samuels-2.html
1999,Jason Whitaker,OL,Florida State,https://www.sports-reference.com/cfb/players/jason-whitaker-1.html
1999,Sebastian Janikowski,K,Florida State,https://www.sports-reference.com/cfb/players/sebastian-janikowski-1.html
1999,Dennis Northcutt,AP,Arizona,https://www.sports-reference.com/cfb/players/dennis-northcutt-1.html
1999,Courtney Brown,DL,Penn State,https://www.sports-reference.com/cfb/players/courtney-brown-1.html
1999,Corey Moore,DL,Virginia Tech,https://www.sports-reference.com/cfb/players/corey-moore-1.html
1999,Corey Simon,DL,Florida State,https://www.sports-reference.com/cfb/players/corey-simon-1.html
1999,Lavar Arrington,LB,Penn State,https://www.sports-reference.com/cfb/players/lavar-arrington-1.html
1999,Brandon Short,LB,Penn State,https://www.sports-reference.com/cfb/players/brandon-short-1.html
1999,Mark Simoneau,LB,Kansas State,https://www.sports-reference.com/cfb/players/mark-simoneau-1.html
1999,Ralph Brown,DB,Nebraska,https://www.sports-reference.com/cfb/players/ralph-brown-2.html
1999,Tyrone Carter,DB,Minnesota,https://www.sports-reference.com/cfb/players/tyrone-carter-1.html
1999,Deon Grant,DB,Tennessee,https://www.sports-reference.com/cfb/players/deon-grant-1.html
1999,Deltha O'Neal,DB,California,https://www.sports-reference.com/cfb/players/deltha-oneal-1.html
1999,Brian Urlacher,DB,New Mexico,https://www.sports-reference.com/cfb/players/brian-urlacher-1.html
1999,Andrew Bayes,P,East Carolina,https://www.sports-reference.com/cfb/players/andrew-bayes-1.html
2000,Josh Heupel,QB,Oklahoma,https://www.sports-reference.com/cfb/players/josh-heupel-1.html
2000,Damien Anderson,RB,Northwestern,https://www.sports-reference.com/cfb/players/damien-anderson-1.html
2000,LaDainian Tomlinson,RB,Texas Christian,https://www.sports-reference.com/cfb/players/ladainian-tomlinson-1.html
2000,Antonio Bryant,WR,Pitt,https://www.sports-reference.com/cfb/players/antonio-bryant-1.html
2000,Snoop Minnis,WR,Florida State,https://www.sports-reference.com/cfb/players/snoop-minnis-1.html
2000,Freddie Mitchell,WR,UCLA,https://www.sports-reference.com/cfb/players/freddie-mitchell-1.html
2000,Brian Natkin,TE,UTEP,https://www.sports-reference.com/cfb/players/brian-natkin-1.html
2000,Chris Brown,OL,Georgia Tech,https://www.sports-reference.com/cfb/players/chris-brown-7.html
2000,Leonard Davis,OL,Texas,https://www.sports-reference.com/cfb/players/leonard-davis-1.html
2000,Ben Hamilton,OL,Minnesota,https://www.sports-reference.com/cfb/players/ben-hamilton-1.html
2000,Steve Hutchinson,OL,Michigan,https://www.sports-reference.com/cfb/players/steve-hutchinson-1.html
2000,Dominic Raiola,OL,Nebraska,https://www.sports-reference.com/cfb/players/dominic-raiola-1.html
2000,Jonathan Ruffin,K,Cincinnati,https://www.sports-reference.com/cfb/players/jonathan-ruffin-1.html
2000,Santana Moss,AP,Miami (FL),https://www.sports-reference.com/cfb/players/santana-moss-1.html
2000,Andre Carter,DL,California,https://www.sports-reference.com/cfb/players/andre-carter-1.html
2000,Casey Hampton,DL,Texas,https://www.sports-reference.com/cfb/players/casey-hampton-1.html
2000,John Henderson,DL,Tennessee,https://www.sports-reference.com/cfb/players/john-henderson-1.html
2000,Jamal Reynolds,DL,Florida State,https://www.sports-reference.com/cfb/players/jamal-reynolds-1.html
2000,Keith Adams,LB,Clemson,https://www.sports-reference.com/cfb/players/keith-adams-1.html
2000,Rocky Calmus,LB,Oklahoma,https://www.sports-reference.com/cfb/players/rocky-calmus-1.html
2000,Dan Morgan,LB,Miami (FL),https://www.sports-reference.com/cfb/players/dan-morgan-1.html
2000,Tay Cody,DB,Florida State,https://www.sports-reference.com/cfb/players/tay-cody-1.html
2000,Jamar Fletcher,DB,Wisconsin,https://www.sports-reference.com/cfb/players/jamar-fletcher-1.html
2000,Ed Reed,DB,Miami (FL),https://www.sports-reference.com/cfb/players/ed-reed-1.html
2000,Dwight Smith,DB,Akron,https://www.sports-reference.com/cfb/players/dwight-smith-1.html
