Year,Player_NCAA_ID,NCAA_Link,Rk,Player,School,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts
2000,nick-calaycay-1,/cfb/players/nick-calaycay-1.html,1,Nick Calaycay,Boise State,Big West,11,59,61,96.7,15,16,93.8,104
2000,steve-azar-1,/cfb/players/steve-azar-1.html,2,Steve Azar,Northern Illinois,MAC,9,38,40,95.0,14,15,93.3,80
2000,billy-bennett-1,/cfb/players/billy-bennett-1.html,3,Billy Bennett,Georgia,SEC,11,24,26,92.3,13,14,92.9,63
2000,alex-walls-1,/cfb/players/alex-walls-1.html,4,Alex Walls,Tennessee,SEC,11,39,39,100.0,18,20,90.0,93
2000,jonathon-ruffin-1,/cfb/players/jonathon-ruffin-1.html,5,Jonathon Ruffin*,Cincinnati,CUSA,12,26,27,96.3,26,29,89.7,104
2000,jonathan-ruffin-1,/cfb/players/jonathan-ruffin-1.html,6,Jonathan Ruffin*,Cincinnati,CUSA,11,26,27,96.3,26,29,89.7,104
2000,chris-kaylakie-1,/cfb/players/chris-kaylakie-1.html,7,Chris Kaylakie,Texas Christian,WAC,11,50,51,98.0,16,18,88.9,98
2000,seth-hanson-1,/cfb/players/seth-hanson-1.html,8,Seth Hanson,Kentucky,SEC,11,23,24,95.8,15,17,88.2,68
2000,mike-sutphin-1,/cfb/players/mike-sutphin-1.html,9,Mike Sutphin,Boston College,Big East,11,38,40,95.0,12,14,85.7,74
2000,jamie-rheem-1,/cfb/players/jamie-rheem-1.html,10,Jamie Rheem,Kansas State,Big 12,12,49,50,98.0,17,20,85.0,100
2000,kris-stockton-1,/cfb/players/kris-stockton-1.html,11,Kris Stockton,Texas,Big 12,11,41,44,93.2,22,26,84.6,107
2000,brian-kelly-1,/cfb/players/brian-kelly-1.html,12,Brian Kelly,Middle Tennessee State,Ind,11,39,44,88.6,11,13,84.6,72
2000,jeff-chandler-1,/cfb/players/jeff-chandler-1.html,13,Jeff Chandler,Florida,SEC,12,49,53,92.5,16,19,84.2,97
2000,ryan-cesca-1,/cfb/players/ryan-cesca-1.html,14,Ryan Cesca*,Oregon State,Pac-10,12,46,47,97.9,16,19,84.2,94
2000,terence-kitchens-1,/cfb/players/terence-kitchens-1.html,15,Terence Kitchens,Texas A&M,Big 12,11,34,36,94.4,15,18,83.3,79
2000,jeff-reed-1,/cfb/players/jeff-reed-1.html,16,Jeff Reed,North Carolina,ACC,11,30,30,100.0,16,20,80.0,78
2000,owen-pochman-1,/cfb/players/owen-pochman-1.html,17,Owen Pochman,Brigham Young,MWC,12,29,29,100.0,19,24,79.2,86
2000,dave-adams-1,/cfb/players/dave-adams-1.html,18,Dave Adams,Air Force,MWC,11,37,39,94.9,19,24,79.2,94
2000,rhett-gallego-1,/cfb/players/rhett-gallego-1.html,19,Rhett Gallego,UAB,CUSA,11,23,24,95.8,19,24,79.2,80
2000,dan-stultz-1,/cfb/players/dan-stultz-1.html,20,Dan Stultz*,Ohio State,Big Ten,12,34,37,91.9,19,24,79.2,91
2000,todd-france-1,/cfb/players/todd-france-1.html,21,Todd France,Toledo,MAC,11,49,49,100.0,15,19,78.9,94
2000,toller-starnes-1,/cfb/players/toller-starnes-1.html,22,Toller Starnes,Eastern Michigan,MAC,11,22,23,95.7,11,14,78.6,55
2000,john-markham-1,/cfb/players/john-markham-1.html,23,John Markham,Vanderbilt,SEC,11,19,21,90.5,14,18,77.8,61
2000,javier-beorlegui-1,/cfb/players/javier-beorlegui-1.html,24,Javier Beorlegui,UCF,Ind,11,39,40,97.5,14,18,77.8,81
