Year,Player_NCAA_ID,NCAA_Link,Rk,Player,School,Conf,G,Punts,Yds,Avg
2000,brian-morton-1,/cfb/players/brian-morton-1.html,1,Brian Morton,Duke,ACC,11,77,3478,45.2
2000,preston-gruening-1,/cfb/players/preston-gruening-1.html,2,Preston Gruening,Minnesota,Big Ten,11,46,2080,45.2
2000,brooks-barnard-1,/cfb/players/brooks-barnard-1.html,3,Brooks Barnard,Maryland,ACC,11,49,2191,44.7
2000,kevin-stemke-1,/cfb/players/kevin-stemke-1.html,4,Kevin Stemke,Wisconsin,Big Ten,13,69,3070,44.5
2000,dave-zastudil-1,/cfb/players/dave-zastudil-1.html,5,Dave Zastudil,Ohio,MAC,11,47,2084,44.3
2000,casey-roussel-1,/cfb/players/casey-roussel-1.html,6,Casey Roussel,Tulane,CUSA,11,59,2609,44.2
2000,dan-hadenfeldt-1,/cfb/players/dan-hadenfeldt-1.html,7,Dan Hadenfeldt,Nebraska,Big 12,11,39,1708,43.8
2000,jeff-ferguson-1,/cfb/players/jeff-ferguson-1.html,8,Jeff Ferguson*,Oklahoma,Big 12,13,56,2437,43.5
2000,aaron-edmonds-1,/cfb/players/aaron-edmonds-1.html,9,Aaron Edmonds,Brigham Young,MWC,12,67,2898,43.3
2000,alan-rhine-1,/cfb/players/alan-rhine-1.html,10,Alan Rhine,Florida,SEC,12,47,2035,43.3
2000,nate-fikse-1,/cfb/players/nate-fikse-1.html,11,Nate Fikse,UCLA,Pac-10,11,72,3109,43.2
2000,damon-duval-1,/cfb/players/damon-duval-1.html,12,Damon Duval,Auburn,SEC,12,65,2811,43.2
2000,freddie-capshaw-1,/cfb/players/freddie-capshaw-1.html,13,Freddie Capshaw,Miami (FL),Big East,11,49,2119,43.2
2000,richie-butler-1,/cfb/players/richie-butler-1.html,14,Richie Butler,Arkansas,SEC,11,65,2784,42.8
2000,brian-simnjamovski-1,/cfb/players/brian-simnjamovski-1.html,15,Brian Simnjamovski,San Diego State,MWC,11,55,2356,42.8
2000,brian-simnjanovski-1,/cfb/players/brian-simnjanovski-1.html,16,Brian Simnjanovski,San Diego State,MWC,11,55,2356,42.8
2000,mike-abrams-1,/cfb/players/mike-abrams-1.html,17,Mike Abrams,Virginia,ACC,11,65,2768,42.6
2000,jason-baker-1,/cfb/players/jason-baker-1.html,18,Jason Baker,Iowa,Big Ten,12,74,3145,42.5
2000,tom-waring-1,/cfb/players/tom-waring-1.html,19,Tom Waring,Wyoming,MWC,11,59,2502,42.4
2000,jonathan-kilgo-1,/cfb/players/jonathan-kilgo-1.html,20,Jonathan Kilgo,Georgia,SEC,11,58,2450,42.2
2000,matt-brennie-1,/cfb/players/matt-brennie-1.html,21,Matt Brennie,Wake Forest,ACC,11,63,2648,42.0
2000,jeff-edwards-2,/cfb/players/jeff-edwards-2.html,22,Jeff Edwards,Boise State,Big West,11,47,1975,42.0
2000,kent-mccullough-1,/cfb/players/kent-mccullough-1.html,23,Kent McCullough,Miami (OH),MAC,11,56,2344,41.9
2000,bj-sander-1,/cfb/players/bj-sander-1.html,24,B.J. Sander*,Ohio State,Big Ten,12,37,1549,41.9
2000,travis-hale-1,/cfb/players/travis-hale-1.html,25,Travis Hale,Rice,WAC,11,54,2256,41.8
2000,dan-dyke-1,/cfb/players/dan-dyke-1.html,26,Dan Dyke,Georgia Tech,ACC,11,34,1420,41.8
2000,nick-avondet-1,/cfb/players/nick-avondet-1.html,27,Nick Avondet,Eastern Michigan,MAC,11,71,2954,41.6
2000,nick-harris-1,/cfb/players/nick-harris-1.html,28,Nick Harris,California,Pac-10,11,73,3030,41.5
2000,steve-mullins-1,/cfb/players/steve-mullins-1.html,29,Steve Mullins,Utah State,Big West,11,64,2647,41.4
2000,mike-masucci-1,/cfb/players/mike-masucci-1.html,30,Mike Masucci,Buffalo,MAC,8,38,1575,41.4
2000,nick-murphy-1,/cfb/players/nick-murphy-1.html,31,Nick Murphy*,Arizona State,Pac-10,12,86,3551,41.3
2000,mark-haulman-1,/cfb/players/mark-haulman-1.html,32,Mark Haulman,Southern Mississippi,CUSA,11,76,3140,41.3
2000,ray-cheetany-1,/cfb/players/ray-cheetany-1.html,33,Ray Cheetany,UNLV,MWC,12,64,2646,41.3
2000,prentiss-cole-1,/cfb/players/prentiss-cole-1.html,34,Prentiss Cole,Mississippi State,SEC,11,63,2601,41.3
2000,mark-fazzolari-1,/cfb/players/mark-fazzolari-1.html,35,Mark Fazzolari,West Virginia,Big East,11,60,2479,41.3
2000,glen-beard-1,/cfb/players/glen-beard-1.html,36,Glen Beard,UTEP,WAC,11,54,2229,41.3
2000,keith-cottrell-1,/cfb/players/keith-cottrell-1.html,37,Keith Cottrell,Florida State,ACC,12,48,1983,41.3
2000,devin-sanderson-1,/cfb/players/devin-sanderson-1.html,38,Devin Sanderson,South Florida,Ind,11,47,1933,41.1
2000,jj-standring-1,/cfb/players/jj-standring-1.html,39,J.J. Standring*,Northwestern,Big Ten,12,74,3024,40.9
2000,adam-wulfeck-1,/cfb/players/adam-wulfeck-1.html,40,Adam Wulfeck*,Cincinnati,CUSA,12,61,2492,40.9
2000,joey-hildbold-1,/cfb/players/joey-hildbold-1.html,41,Joey Hildbold,Notre Dame,Ind,10,60,2456,40.9
2000,david-leaverton-1,/cfb/players/david-leaverton-1.html,42,David Leaverton,Tennessee,SEC,11,59,2415,40.9
2000,steve-fitts-1,/cfb/players/steve-fitts-1.html,43,Steve Fitts,Illinois,Big Ten,11,52,2128,40.9
2000,mike-shafer-1,/cfb/players/mike-shafer-1.html,44,Mike Shafer,Syracuse,Big East,11,51,2086,40.9
2000,craig-jarrett-1,/cfb/players/craig-jarrett-1.html,45,Craig Jarrett,Michigan State,Big Ten,11,62,2528,40.8
2000,dallas-thompson-1,/cfb/players/dallas-thompson-1.html,46,Dallas Thompson,Air Force,MWC,11,50,2040,40.8
2000,kurtis-doerr-1,/cfb/players/kurtis-doerr-1.html,47,Kurtis Doerr*,Oregon,Pac-10,12,68,2768,40.7
2000,curtis-head-1,/cfb/players/curtis-head-1.html,48,Curtis Head,Marshall,MAC,12,60,2444,40.7
2000,lane-bearden-1,/cfb/players/lane-bearden-1.html,49,Lane Bearden,Alabama,SEC,11,60,2443,40.7
2000,colin-vadheim-1,/cfb/players/colin-vadheim-1.html,50,Colin Vadheim,SMU,WAC,12,67,2717,40.6
2000,adam-coles-1,/cfb/players/adam-coles-1.html,51,Adam Coles,Connecticut,Ind,11,56,2267,40.5
2000,jared-fritz-1,/cfb/players/jared-fritz-1.html,52,Jared Fritz,Kent State,MAC,11,72,2908,40.4
2000,kevin-miller-1,/cfb/players/kevin-miller-1.html,53,Kevin Miller,East Carolina,CUSA,11,30,1212,40.4
2000,pat-fleming-1,/cfb/players/pat-fleming-1.html,54,Pat Fleming,Bowling Green State,MAC,11,58,2340,40.3
2000,andy-kohl-1,/cfb/players/andy-kohl-1.html,55,Andy Kohl,New Mexico State,Big West,11,50,2017,40.3
2000,cody-scates-1,/cfb/players/cody-scates-1.html,56,Cody Scates,Texas A&M,Big 12,11,52,2089,40.2
2000,hayden-epstein-1,/cfb/players/hayden-epstein-1.html,57,Hayden Epstein,Michigan,Big Ten,11,51,2050,40.2
