Year,Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,PPG,Opp_PPG,Pass_YPA,Opp_Pass_YPA,Rush_YPA,Opp_Rush_YPA,Total_YPP,Opp_Total_YPP
1999,1,Florida State,ACC,1.0,12,0,13.05,10.44,23.5,54.0,-0.29,,,,,,
1999,2,Nebraska,Big 12 (North),3.0,12,1,8.99,12.16,21.15,50.77,-2.23,,,,,,
1999,3,Tennessee,SEC (East),9.0,9,3,9.78,10.45,20.23,48.82,0.06,,,,,,
1999,4,Virginia Tech,Big East,2.0,11,1,7.49,11.17,18.66,53.14,0.62,,,,,,
1999,5,Penn State,Big Ten,11.0,10,3,8.56,9.23,17.79,47.71,1.0,,,,,,
1999,6,Alabama,SEC (West),8.0,10,3,10.69,6.5,17.19,48.64,3.55,,,,,,
1999,7,Michigan,Big Ten,5.0,10,2,9.72,7.05,16.77,47.75,3.34,,,,,,
1999,8,Florida,SEC (East),12.0,9,4,9.33,6.23,15.55,48.12,4.48,,,,,,
1999,9,Kansas State,Big 12 (North),6.0,11,1,4.22,10.89,15.11,49.82,1.03,,,,,,
1999,10,Michigan State,Big Ten,7.0,10,2,7.19,7.76,14.95,48.65,3.63,,,,,,
1999,11,Wisconsin,Big Ten,4.0,10,2,2.69,12.19,14.88,46.76,-0.65,,,,,,
1999,12,Miami (FL),Big East,15.0,9,4,2.58,9.97,12.55,47.29,1.87,,,,,,
1999,13,Mississippi State,SEC (West),13.0,10,2,0.59,11.25,11.84,37.46,-0.32,,,,,,
1999,14,Minnesota,Big Ten,18.0,8,4,4.68,7.13,11.81,44.0,3.21,,,,,,
1999,15,Illinois,Big Ten,24.0,8,4,6.57,4.83,11.4,47.04,7.06,,,,,,
1999,16,Ole Miss,SEC (West),22.0,8,4,6.4,4.39,10.79,43.16,5.6,,,,,,
1999,17,Georgia Tech,ACC,20.0,8,4,15.52,-5.22,10.3,54.09,15.82,,,,,,
1999,18,Arkansas,SEC (West),17.0,8,4,4.31,5.87,10.18,45.42,5.68,,,,,,
1999,19,Oklahoma,Big 12 (South),,7,5,4.29,5.84,10.14,47.7,5.48,,,,,,
1999,20,Marshall,MAC (East),10.0,13,0,-0.73,10.49,9.76,41.28,3.13,,,,,,
1999,21,Purdue,Big Ten,25.0,7,5,8.55,1.22,9.76,48.2,9.6,,,,,,
1999,22,Southern Mississippi,CUSA,14.0,9,3,-0.19,9.94,9.75,40.05,1.95,,,,,,
1999,23,Utah,MWC,,9,3,4.38,4.7,9.07,43.49,8.04,,,,,,
1999,24,Texas A&M,Big 12 (South),23.0,8,4,0.35,8.7,9.05,40.03,4.44,,,,,,
1999,25,Texas,Big 12 (South),21.0,9,5,4.84,3.88,8.72,47.59,6.16,,,,,,
1999,26,Oregon,Pac-10,19.0,9,3,6.88,1.29,8.17,46.95,10.85,,,,,,
1999,27,Stanford,Pac-10,,8,4,11.24,-3.27,7.97,48.62,16.69,,,,,,
1999,28,Ohio State,Big Ten,,6,6,3.94,3.7,7.64,41.53,6.5,,,,,,
1999,29,Clemson,ACC,,6,6,4.52,3.03,7.55,44.26,6.1,,,,,,
1999,30,BYU,MWC,,8,4,5.0,2.43,7.43,41.57,9.59,,,,,,
1999,31,Georgia,SEC (East),16.0,8,4,7.02,0.31,7.33,43.7,10.71,,,,,,
1999,32,Colorado,Big 12 (North),,7,5,7.74,-0.86,6.88,46.44,11.92,,,,,,
1999,33,East Carolina,CUSA,,9,3,2.83,4.01,6.84,41.33,7.05,,,,,,
1999,34,Notre Dame,Ind,,5,7,6.52,0.07,6.59,44.62,10.12,,,,,,
1999,35,Colorado State,MWC,,8,4,3.35,2.5,5.85,40.96,10.21,,,,,,
1999,36,Washington,Pac-10,,7,5,5.17,0.51,5.68,41.75,10.55,,,,,,
1999,37,Syracuse,Big East,,7,5,-1.33,6.14,4.82,36.38,8.21,,,,,,
1999,38,USC,Pac-10,,6,6,2.63,1.99,4.62,41.33,9.17,,,,,,
1999,39,Louisiana Tech,Ind,,8,3,8.58,-4.11,4.47,46.33,17.47,,,,,,
1999,40,Wake Forest,ACC,,7,5,-3.81,8.18,4.37,34.72,3.43,,,,,,
1999,41,Louisville,CUSA,,7,5,12.48,-8.13,4.36,50.54,18.63,,,,,,
1999,42,Memphis,CUSA,,5,6,-3.96,7.93,3.97,34.12,2.31,,,,,,
1999,43,Auburn,SEC (West),,5,6,-1.17,5.11,3.94,37.45,6.5,,,,,,
1999,44,Texas Christian,WAC,,8,4,0.59,3.08,3.67,38.58,10.01,,,,,,
1999,45,Virginia,ACC,,7,5,6.79,-3.22,3.57,43.88,15.39,,,,,,
1999,46,Kentucky,SEC (East),,6,6,4.81,-1.51,3.3,42.59,14.14,,,,,,
1999,47,Wyoming,MWC,,7,4,4.08,-1.14,2.94,39.62,14.58,,,,,,
1999,48,Oregon State,Pac-10,,7,5,1.03,1.73,2.76,39.06,10.74,,,,,,
1999,49,Air Force,MWC,,6,5,-0.86,3.21,2.35,35.3,9.26,,,,,,
1999,50,Fresno State,WAC,,8,5,1.88,0.43,2.31,39.89,12.07,,,,,,
1999,51,Vanderbilt,SEC (East),,5,6,-1.32,3.17,1.85,38.09,9.47,,,,,,
1999,52,Maryland,ACC,,5,6,-0.66,2.05,1.4,39.51,10.34,,,,,,
1999,53,San Diego State,MWC,,5,6,-1.48,2.83,1.35,36.81,8.65,,,,,,
1999,54,Pitt,Big East,,5,6,1.43,-0.16,1.27,38.14,12.09,,,,,,
1999,55,Boise State,Big West,,10,3,0.56,0.69,1.25,39.51,13.16,,,,,,
1999,56,Houston,CUSA,,7,4,-4.3,5.19,0.9,33.95,6.97,,,,,,
1999,57,Boston College,Big East,,8,4,2.46,-1.66,0.8,36.3,13.48,,,,,,
1999,58,Oklahoma State,Big 12 (South),,5,6,0.5,0.28,0.78,38.17,11.33,,,,,,
1999,59,Arizona,Pac-10,,6,6,4.01,-3.43,0.58,40.55,16.27,,,,,,
1999,60,Arizona State,Pac-10,,6,6,0.94,-0.71,0.23,37.08,12.71,,,,,,
1999,61,West Virginia,Big East,,4,7,1.74,-2.09,-0.35,40.18,13.32,,,,,,
1999,62,Hawaii,WAC,,9,4,2.22,-2.59,-0.37,37.89,17.6,,,,,,
1999,63,Iowa State,Big 12 (North),,4,7,-0.21,-0.39,-0.6,35.82,10.67,,,,,,
1999,64,UAB,CUSA,,5,6,-1.98,1.26,-0.72,35.71,11.36,,,,,,
1999,65,California,Pac-10,,4,7,-6.35,4.99,-1.36,29.85,8.26,,,,,,
1999,66,Indiana,Big Ten,,4,7,6.02,-7.4,-1.38,43.07,20.99,,,,,,
1999,67,LSU,SEC (West),,3,8,-3.7,2.3,-1.41,36.16,9.65,,,,,,
1999,68,Texas Tech,Big 12 (South),,6,5,-1.47,-0.18,-1.65,34.47,14.68,,,,,,
1999,69,Navy,Ind,,5,7,-0.78,-0.91,-1.69,35.01,13.8,,,,,,
1999,70,North Carolina State,ACC,,6,6,-2.28,0.59,-1.69,35.22,10.9,,,,,,
1999,71,Missouri,Big 12 (North),,4,7,-0.55,-1.34,-1.89,36.78,18.18,,,,,,
1999,72,UCLA,Pac-10,,4,7,-2.63,0.61,-2.01,34.73,13.25,,,,,,
1999,73,Cincinnati,CUSA,,3,8,0.9,-3.41,-2.52,39.14,14.22,,,,,,
1999,74,Kansas,Big 12 (North),,5,7,-1.54,-1.43,-2.98,38.47,16.81,,,,,,
1999,75,Rice,WAC,,5,6,-4.72,1.13,-3.59,32.53,12.06,,,,,,
1999,76,Miami (OH),MAC (East),,7,4,0.01,-4.84,-4.83,36.85,17.95,,,,,,
1999,77,North Carolina,ACC,,3,8,-8.24,3.35,-4.89,30.16,9.87,,,,,,
1999,78,Duke,ACC,,3,8,-1.47,-3.44,-4.91,36.16,18.21,,,,,,
1999,79,Washington State,Pac-10,,3,9,-6.05,1.12,-4.93,31.95,13.77,,,,,,
1999,80,Toledo,MAC (West),,6,5,-4.61,-0.44,-5.05,32.36,13.91,,,,,,
1999,81,Western Michigan,MAC (West),,7,5,4.06,-9.15,-5.09,38.64,22.0,,,,,,
1999,82,New Mexico,MWC,,4,7,-3.24,-2.11,-5.34,32.97,16.29,,,,,,
1999,83,Idaho,Big West,,7,4,-0.26,-5.18,-5.44,34.72,19.26,,,,,,
1999,84,Iowa,Big Ten,,1,10,-5.53,0.04,-5.49,32.61,14.74,,,,,,
1999,85,UCF,Ind,,4,7,-3.35,-2.14,-5.49,33.63,16.01,,,,,,
1999,86,Northwestern,Big Ten,,3,8,-8.02,2.26,-5.76,28.35,10.21,,,,,,
1999,87,New Mexico State,Big West,,6,5,-4.67,-1.61,-6.28,35.55,17.21,,,,,,
1999,88,UTEP,WAC,,5,7,0.73,-7.93,-7.2,35.8,20.65,,,,,,
1999,89,Tulane,CUSA,,3,8,2.32,-9.78,-7.46,40.14,26.55,,,,,,
1999,90,Utah State,Big West,,4,7,-5.22,-2.35,-7.57,30.91,16.55,,,,,,
1999,91,Akron,MAC (East),,7,4,-0.63,-7.0,-7.63,34.28,22.65,,,,,,
1999,92,Temple,Big East,,2,9,-7.72,0.03,-7.69,29.08,18.19,,,,,,
1999,93,South Carolina,SEC (East),,0,11,-11.91,3.62,-8.29,26.55,8.26,,,,,,
1999,94,SMU,WAC,,4,6,-9.82,1.06,-8.76,27.34,12.56,,,,,,
1999,95,Arkansas State,Big West,,4,7,-3.42,-5.4,-8.81,31.81,21.66,,,,,,
1999,96,Army,CUSA,,3,8,-2.87,-6.01,-8.88,33.93,17.85,,,,,,
1999,97,Louisiana-Monroe,Ind,,5,6,-10.89,1.28,-9.61,24.67,18.91,,,,,,
