Year,Player_ID,NCAA_Link,Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Team,Round,Pick
2000,AbraJo00,,John Abraham,OLB,South Carolina,76,252,4.55,,,,,,New York Jets,1,13
2000,AlexSh00,https://www.sports-reference.com/cfb/players/shaun-alexander-1.html,Shaun Alexander,RB,Alabama,72,218,4.58,,,,,,Seattle Seahawks,1,19
2000,AlfoDa20,,Darnell Alford,OT,Boston Col.,76,334,5.56,25.0,23.0,94.0,8.48,4.98,Kansas City Chiefs,6,188
2000,,,Kyle Allamon,TE,Texas Tech,74,253,4.97,29.0,,104.0,7.29,4.49,,999,999
2000,AndeRa21,,Rashard Anderson,CB,Jackson State,74,206,4.55,34.0,,123.0,7.18,4.15,Carolina Panthers,1,23
2000,arianjak01,,Jake Arians,K,Ala-Birmingham,70,202,,,,,,,,999,999
2000,ArriLa00,https://www.sports-reference.com/cfb/players/lavar-arrington-1.html,LaVar Arrington,OLB,Penn State,75,250,4.53,,,,,,Washington Redskins,1,2
2000,AtkiCo20,,Corey Atkins,OLB,South Carolina,72,237,4.72,31.0,21.0,112.0,7.96,4.39,,999,999
2000,,,Kyle Atteberry,K,Baylor,72,167,,,,,,,,999,999
2000,AustRe20,,Reggie Austin,CB,Wake Forest,69,175,4.44,35.0,17.0,119.0,7.03,4.14,Chicago Bears,4,125
2000,BakeJo21,https://www.sports-reference.com/cfb/players/john-baker-3.html,John Baker,P,North Texas,75,227,,,,,,,,999,999
2000,,,Mark Baniewicz,OT,Syracuse,78,312,5.34,28.0,20.0,96.0,7.72,4.73,Jacksonville Jaguars,7,247
2000,BarnRa20,,Rashidi Barnes,FS,Colorado,72,208,4.62,35.0,10.0,114.0,6.92,4.32,Cleveland Browns,7,225
2000,BarrDa22,,David Barrett,CB,Arkansas,70,199,4.44,37.5,16.0,116.0,6.81,4.04,Arizona Cardinals,4,102
2000,BartWi20,,William Bartee,CB,Oklahoma,73,192,4.43,38.5,,124.0,6.7,3.99,Kansas City Chiefs,2,54
2000,,,Andrew Bayes,P,East Carolina,74,200,,,,,,,,999,999
2000,,,Terrance Beadles,OG,Ark-Pine Bluff,75,312,5.19,,29.0,,,,,999,999
2000,BeanRo20,,Robert Bean,CB,Mississippi State,71,178,4.5,34.5,,122.0,6.87,4.2,Cincinnati Bengals,5,133
2000,BechAn00,https://www.sports-reference.com/cfb/players/anthony-becht-1.html,Anthony Becht,TE,West Virginia,78,270,4.78,33.5,,123.0,6.94,4.08,New York Jets,1,27
2000,,,Matt Beck,ILB,California,75,234,4.65,,,,,,,999,999
2000,BeckRo20,,Rogers Beckett,FS,Marshall,73,207,4.62,39.5,15.0,119.0,6.48,4.29,San Diego Chargers,2,43
2000,BedeBr20,,Brad Bedell,OG,Colorado,76,302,5.07,31.5,17.0,103.0,7.76,4.58,Cleveland Browns,6,206
2000,BellMa21,,Marcus Bell,ILB,Arizona,74,237,4.78,31.5,21.0,111.0,7.17,4.33,Seattle Seahawks,4,116
2000,BerrGa20,,Gary Berry,FS,Ohio State,71,204,4.55,,,,,,Green Bay Packers,4,126
2000,,,Michael Boireau,DE,Miami (FL),76,274,5.09,29.0,26.0,105.0,7.68,4.49,Minnesota Vikings,2,56
2000,BoweMa20,,Matt Bowen,SS,Iowa,73,201,4.49,33.0,12.0,115.0,7.06,4.09,St. Louis Rams,6,198
2000,,,Carl Bradley,DT,Virginia Tech,74,300,5.03,,,,,,,999,999
2000,BradTo00,https://www.sports-reference.com/cfb/players/tom-brady-1.html,Tom Brady,QB,Michigan,76,211,5.28,24.5,,99.0,7.2,4.38,New England Patriots,6,199
2000,,,Robert Brannon,DT,Iowa State,76,309,5.19,28.5,28.0,99.0,7.82,4.7,,999,999
2000,BrowTr01,,Travis Brown,QB,Northern Arizona,75,218,5.01,29.0,,101.0,7.54,4.87,,999,999
