Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2000,Darnell Alford,Boston College,OT,76,334,10.5,34,,5.58,23,25,94,4.98,8.48,
2000,Kyle Allamon,Texas Tech,TE,74.5,253,9.88,31,,5.01,,29,104,4.49,7.29,12.47
2000,Rashard Anderson,Jackson State (MS),CB,74.4,206,10,33,,4.59,,34,123,4.15,7.18,11.72
2000,Corey Atkins,South Carolina,OLB,72.4,237,9.75,31.88,,4.76,21,31,112,4.39,7.96,11.87
2000,Reggie Austin,Wake Forest,CB,69.4,175,8.5,30,,4.46,17,35,119,4.14,7.03,
2000,Mark Baniewicz,Syracuse,OT,77.9,312,9.25,32.75,,5.36,20,28,96,4.73,7.72,
2000,Rashidi Barnes,Colorado,FS,71.6,208,9.5,32,,4.63,10,35,114,4.32,6.92,11.35
2000,David Barrett,Arkansas,CB,69.9,199,10,31.13,,4.48,16,37.5,116,4.04,6.81,10.77
2000,William Bartee,Oklahoma,CB,73,192,,,,4.43,,38.5,124,3.99,6.7,
2000,Terrance Beadles,Arkansas-Pine Bluff,OG,74.9,312,10.13,33,,5.21,29,,,9.99,9.99,
2000,Robert Bean,Mississippi State,CB,71,178,,,,4.5,,34.5,122,4.2,6.87,
2000,Anthony Becht,West Virginia,TE,77.6,270,10.5,32.63,,4.78,,33.5,123,4.08,6.94,11.51
2000,Rogers Beckett,Marshall (WV),FS,73.5,207,9.5,33.5,,4.64,15,39.5,119,4.29,6.48,11.24
2000,Brad Bedell,Colorado,OG,76.4,302,10,32.38,,5.12,17,31.5,103,4.58,7.76,
2000,Marcus Bell,Arizona,ILB,73.6,237,10.13,31.88,,4.8,21,31.5,111,4.33,7.17,11.73
2000,Michael Boireau,Miami (FL),DE,76.1,274,10.25,34,,5.12,26,29,105,4.49,7.68,
2000,Matt Bowen,Iowa,SS,73.1,201,9,30.25,,4.51,12,33,115,4.09,7.06,11.37
