Combine_Year,Player_ID,Top_Talent,Rnd,Round_Cat,Pick,Draft_Team,Player,AV,Exp_AV,Success,Class,Underclassman,Pos,Pos_Group,Pos_Type,Draft_age,School,Conf,Power_Conf,Ht,Wt,BMI,Arm_length,Hand_size,40yd,Speed_Score,HASS,Vertical,Vertical_Jump_Power,Bench,Bench_Diff,BroadJump,Broad_Jump_Power,3Cone,Shuttle,Quix_Score,School_Off_Rnk,School_Def_Rnk,School_Off_Rating,School_Def_Rating,School_Rating,Consensus_AA,Dominator_Rating_Prior,Dominator_Rating_Draft,Non_offensive_TD_PG_Prior,Non_offensive_TD_PG_Draft,Adj_Def_Solo_Tackles_PG_Prior,Adj_Def_Solo_Tackles_PG_Draft,Adj_Def_Ast_Tackles_PG_Prior,Adj_Def_Ast_Tackles_PG_Draft,Adj_Def_Tot_Tackles_PG_Prior,Adj_Def_Tot_Tackles_PG_Draft,Adj_Def_Loss_Tackles_PG_Prior,Adj_Def_Loss_Tackles_PG_Draft,Adj_Def_Sk_PG_Prior,Adj_Def_Sk_PG_Draft,Adj_Def_Int_PG_Prior,Adj_Def_Int_PG_Draft,Adj_Def_PD_PG_Prior,Adj_Def_PD_PG_Draft,Adj_Def_FF_PG_Prior,Adj_Def_FF_PG_Draft,Adj_Def_FR_PG_Prior,Adj_Def_FR_PG_Draft,Adj_Def_Int_TD_PG_Prior,Adj_Def_Int_TD_PG_Draft,Adj_Def_TD_Fumbles_PG_Prior,Adj_Def_TD_Fumbles_PG_Draft
2014,aaron-colvin-1,0,4,Rounds 4-7,114,JAX,Aaron Colvin,15,5.8,Success,SR,0,CB,DB,Defense,22,Oklahoma,Big 12,1,71,177,24.68,NULL,NULL,4.51,85.57,81.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,22,6.42,6.77,13.19,0,0,0,0,0,3.01,3.99,1.26,1,4.27,4.99,0.24,0.45,0.06,0.09,0.1,0.09,0.17,0.26,0.02,0,0.05,0.09,0,0,0,0
2009,aaron-curry-1,1,1,Rounds 1-3,4,SEA,Aaron Curry,16,32.6,Bust,SR,0,OLB,LB,Defense,23,Wake Forest,ACC,1,74,254,32.61,NULL,NULL,4.52,121.71,122.95,37,8867.82,25,4.1,124,22281.3,7.15,4.51,96.19,95,16,-0.27,7.71,7.45,0,0,0,0,0,3.44,5.11,2,3.02,5.44,8.13,0.69,1.24,0.15,0.2,0.1,0.08,0,0,0,0,0,0,0.06,0,0,0
2015,aaron-davis-4,0,8,Undrafted,999,Undrafted,Aaron Davis,NULL,NULL,Success,SR,0,OLB,LB,Defense,NULL,Colorado State,MWC,0,72,225,30.51,31,9,4.95,74.95,72.67,29,7038.61,16,-2.8,107,19064.49,7.38,4.37,82.63,32,44,4.02,1.44,5.47,0,0,0,0,0,1.73,4.19,1.52,3.79,3.25,7.98,0.15,0.44,0,0,0,0.07,0.04,0.35,0.04,0.07,0.02,0,0,0,0,0
2014,aaron-donald-1,1,1,Rounds 1-3,13,STL,Aaron Donald,82,25,Success,SR,0,DT,DL,Defense,23,Pitt,ACC,1,73,285,37.6,32.63,9.88,4.68,118.82,117.61,32,8733.8,35,9.5,116,21684.75,7.11,4.39,114.06,85,71,3.74,-0.02,3.72,1,0,0,0,0,0.73,3.26,0.67,1.21,1.4,4.47,0.46,2.16,0.3,0.91,0,0,0.11,0.25,0.02,0.3,0,0,0,0,0,0
2005,aaron-francisco-1,0,8,Undrafted,999,Undrafted,Aaron Francisco,NULL,NULL,Success,SR,0,FS,DB,Defense,NULL,BYU,MWC,0,74,211,27.09,31.63,9.63,4.74,83.6,84.45,35,7676.06,17,1.4,113,19701.94,6.96,4.07,99.79,69,71,1.95,2.23,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.08,0,0,0,0,0,0,0,0,0,0
2013,aaron-hester-1,0,8,Undrafted,999,Undrafted,Aaron Hester,NULL,NULL,Success,SR,0,CB,DB,Defense,NULL,UCLA,Pac-12,1,74,198,25.42,32.48,10.38,4.62,86.92,87.81,29,6483.92,NULL,NULL,112,19280.69,7.26,4.33,76.81,31,61,6.16,2.59,8.75,0,0,0,0,0,1.89,1.94,0.48,0.81,2.38,2.75,0.1,0.13,0,0,0.1,0.06,0.26,0,0,0,0,0,0,0,0,0
2014,aaron-lynch-1,0,5,Rounds 4-7,150,SFO,Aaron Lynch,13,3.4,Success,SO,1,DE,DL,Defense,21,South Florida,American,0,77,249,29.52,NULL,NULL,4.76,97.01,104.02,NULL,NULL,18,0,NULL,NULL,NULL,NULL,NULL,122,76,-11.38,-2.17,-13.56,0,0,0,0,0,1.51,1.42,1.11,1,2.62,2.42,0.56,1,0.44,0.44,0,0,0.16,0.09,0.08,0,0,0.08,0,0,0,0.08
2009,aaron-maybin-1,1,1,Rounds 1-3,11,BUF,Aaron Maybin,5,26.2,Bust,SO,1,DE,DL,Defense,21,Penn State,Big Ten,1,76,249,30.31,NULL,NULL,4.64,107.44,112.97,38,8919.27,22,3.2,124,22178.58,7.52,4.38,86.92,11,8,8.19,9.62,17.82,1,0,0,0,0,0.59,2.35,0.29,1.49,0.88,3.84,0.33,1.57,0.27,0.9,0,0,0.07,0.23,0.07,0.24,0,0,0,0,0,0
2007,aaron-ross-1,1,1,Rounds 1-3,20,NYG,Aaron Ross,21,21.5,Bust,SR,0,CB,DB,Defense,24,Texas,Big 12,1,72,193,26.17,32.38,9,4.44,99.32,96.3,34,7152.09,17,2.1,118,20103.04,6.67,4.15,98.57,6,26,7.27,4.92,12.18,0,0,0,0.05,0.08,0.6,4.05,0.51,0.86,1.11,4.91,0.05,0.17,0,0.07,0.1,0.44,0,0,0,0,0,0,0,0,0,0.09
2007,aaron-rouse-1,1,3,Rounds 1-3,89,GNB,Aaron Rouse,8,7.8,Success,SR,0,SS,DB,Defense,23,Virginia Tech,ACC,1,76,223,27.14,34.75,9.38,4.58,101.36,106.58,35,7922.59,16,0.4,NULL,NULL,NULL,NULL,NULL,49,1,2.54,9.93,12.47,0,0,0,0,0,2.88,2.1,3.46,2.88,6.34,4.98,0.37,0.17,0,0,0.31,0.1,0,0,0,0,0,0,0,0,0,0
