Combine_Year,Player_ID,Top_Talent,Rnd,Round_Cat,Pick,Draft_Team,Player,AV,Exp_AV,Success,Class,Underclassman,Pos,Pos_Group,Pos_Type,Draft_age,School,Conf,Power_Conf,Ht,Wt,BMI,Arm_length,Hand_size,40yd,Speed_Score,HASS,Vertical,Vertical_Jump_Power,Bench,Bench_Diff,BroadJump,Broad_Jump_Power,3Cone,Shuttle,Quix_Score,School_Off_Rnk,School_Def_Rnk,School_Off_Rating,School_Def_Rating,School_Rating,Consensus_AA,Dominator_Rating_Prior,Dominator_Rating_Draft,Adj_Pass_Att_PG_Prior,Adj_Pass_Att_PG_Draft,Adj_Pass_Cmp_PG_Prior,Adj_Pass_Cmp_PG_Draft,Pass_Pct_Prior,Pass_Pct_Draft,Adj_Pass_Yds_PG_Prior,Adj_Pass_Yds_PG_Draft,Adj_Pass_TD_PG_Prior,Adj_Pass_TD_PG_Draft,Adj_Pass_Int_PG_Prior,Adj_Pass_Int_PG_Draft,Pass_YA_Prior,Pass_YA_Draft,Pass_AYA_Prior,Pass_AYA_Draft,Pass_Rate_Prior,Pass_Rate_Draft,Adj_Rush_Att_PG_Prior,Adj_Rush_Att_PG_Draft,Adj_Rush_Yds_PG_Prior,Adj_Rush_Yds_PG_Draft,Rush_Avg_Prior,Rush_Avg_Draft,Adj_Rush_TD_PG_Prior,Adj_Rush_TD_PG_Draft,Adj_Rec_PG_Prior,Adj_Rec_PG_Draft,Adj_Rec_Yds_PG_Prior,Adj_Rec_Yds_PG_Draft,Adj_Rec_TD_PG_Prior,Adj_Rec_TD_PG_Draft,Adj_Scrim_Yds_PG_Prior,Adj_Scrim_Yds_PG_Draft,Adj_Scrim_TD_PG_Prior,Adj_Scrim_TD_PG_Draft,Non_offensive_TD_PG_Prior,Non_offensive_TD_PG_Draft,Adj_Def_Solo_Tackles_PG_Prior,Adj_Def_Solo_Tackles_PG_Draft,Adj_Def_Ast_Tackles_PG_Prior,Adj_Def_Ast_Tackles_PG_Draft,Adj_Def_Tot_Tackles_PG_Prior,Adj_Def_Tot_Tackles_PG_Draft,Adj_Def_Loss_Tackles_PG_Prior,Adj_Def_Loss_Tackles_PG_Draft,Adj_Def_Sk_PG_Prior,Adj_Def_Sk_PG_Draft,Adj_Def_Int_PG_Prior,Adj_Def_Int_PG_Draft,Adj_Def_PD_PG_Prior,Adj_Def_PD_PG_Draft,Adj_Def_FF_PG_Prior,Adj_Def_FF_PG_Draft,Adj_Def_FR_PG_Prior,Adj_Def_FR_PG_Draft,Adj_Def_Int_TD_PG_Prior,Adj_Def_Int_TD_PG_Draft,Adj_Def_TD_Fumbles_PG_Prior,Adj_Def_TD_Fumbles_PG_Draft
2016,aaron-burbridge-1,0,6,Rounds 4-7,213,SFO,Aaron Burbridge,1,0.5,Success,SR,0,WR,Receivers,Offense,22,Michigan State,Big Ten,1,72,206,27.94,31.625,8.25,4.56,95.29,92.39,30.5,6879.54,20,3.5,115,19907.58,7.22,4.31,81.59,60,25,4.5,10.87,15.36,0,0.08,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.57,2.88,2.8,8.13,4.9,0,0,2.33,5.8,26.15,85.77,0.08,0.48,29.02,88.57,0.08,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,aaron-colvin-1,0,4,Rounds 4-7,114,JAX,Aaron Colvin,15,5.8,Success,SR,0,CB,DB,Defense,22,Oklahoma,Big 12,1,71,177,24.68,NULL,NULL,4.51,85.57,81.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,22,6.42,6.77,13.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,3.99,1.26,1,4.27,4.99,0.24,0.45,0.06,0.09,0.1,0.09,0.17,0.26,0.02,0,0.05,0.09,0,0,0,0
2009,aaron-curry-1,1,1,Rounds 1-3,4,SEA,Aaron Curry,16,32.6,Bust,SR,0,OLB,LB,Defense,23,Wake Forest,ACC,1,74,254,32.61,NULL,NULL,4.52,121.71,122.95,37,8867.82,25,4.1,124,22281.3,7.15,4.51,96.19,95,16,-0.27,7.71,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,5.11,2,3.02,5.44,8.13,0.69,1.24,0.15,0.2,0.1,0.08,0,0,0,0,0,0,0.06,0,0,0
2015,aaron-davis-4,0,8,Undrafted,999,Undrafted,Aaron Davis,NULL,NULL,Success,SR,0,OLB,LB,Defense,NULL,Colorado State,MWC,0,72,225,30.51,31,9,4.95,74.95,72.67,29,7038.61,16,-2.8,107,19064.49,7.38,4.37,82.63,32,44,4.02,1.44,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,4.19,1.52,3.79,3.25,7.98,0.15,0.44,0,0,0,0.07,0.04,0.35,0.04,0.07,0.02,0,0,0,0,0
2013,aaron-dobson-1,1,2,Rounds 1-3,59,NWE,Aaron Dobson,6,11.6,Bust,SR,0,WR,Receivers,Offense,22,Marshall,CUSA,0,75,210,26.25,NULL,NULL,4.37,115.17,118.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,123,9.91,-15.94,-6.04,0,0.28,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.63,0,3.33,0,0,0,2.65,3.38,42.48,40.26,0.52,0.18,43.12,40.26,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,aaron-donald-1,1,1,Rounds 1-3,13,STL,Aaron Donald,82,25,Success,SR,0,DT,DL,Defense,23,Pitt,ACC,1,73,285,37.6,32.63,9.88,4.68,118.82,117.61,32,8733.8,35,9.5,116,21684.75,7.11,4.39,114.06,85,71,3.74,-0.02,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,3.26,0.67,1.21,1.4,4.47,0.46,2.16,0.3,0.91,0,0,0.11,0.25,0.02,0.3,0,0,0,0,0,0
2005,aaron-francisco-1,0,8,Undrafted,999,Undrafted,Aaron Francisco,NULL,NULL,Success,SR,0,FS,DB,Defense,NULL,BYU,MWC,0,74,211,27.09,31.63,9.63,4.74,83.6,84.45,35,7676.06,17,1.4,113,19701.94,6.96,4.07,99.79,69,71,1.95,2.23,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.08,0,0,0,0,0,0,0,0,0,0
2020,aaron-fuller-1,0,8,Undrafted,999,Undrafted,Aaron Fuller,NULL,NULL,Success,SR,0,WR,Receivers,Offense,NULL,Washington,Pac-12,1,71,188,26.22,29.75,8.875,4.59,84.71,80.43,34,7049.36,NULL,NULL,118,20000.32,7.14,NULL,NULL,41,16,4.24,8.14,12.38,0,0.12,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.12,0,0.67,0,0,0,2.95,4.67,38.76,55.57,0.2,0.47,38.88,55.57,0.07,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,aaron-hernandez-1,0,4,Rounds 4-7,113,NWE,Aaron Hernandez,22,5.8,Success,JR,1,TE,Receivers,Offense,20,Florida,SEC,1,74,245,31.45,NULL,NULL,4.64,105.71,106.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,4,5.61,15.54,21.15,0,0.1,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,1.01,0,16,0,0,2.04,5.6,24.95,70.05,0.33,0.41,24.95,71.07,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,aaron-hester-1,0,8,Undrafted,999,Undrafted,Aaron Hester,NULL,NULL,Success,SR,0,CB,DB,Defense,NULL,UCLA,Pac-12,1,74,198,25.42,32.48,10.38,4.62,86.92,87.81,29,6483.92,NULL,NULL,112,19280.69,7.26,4.33,76.81,31,61,6.16,2.59,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,1.94,0.48,0.81,2.38,2.75,0.1,0.13,0,0,0.1,0.06,0.26,0,0,0,0,0,0,0,0,0
